X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Punch Type
2.908,1.025,2.503,0.167,0.549,0.175,0.18,0.099,0.406,cross
0.364,0.301,0.302,0.112,0.186,0.089,0.085,0.035,0.062,cross
0.109,0.094,0.11,2.427,9.137,4.973,1.358,1.345,1.395,cross
0.067,0.07,0.048,0.962,1.447,0.588,0.455,0.303,0.724,cross
2.558,1.03,2.6,0.113,0.174,0.089,0.12,0.032,0.095,cross
0.644,0.232,0.159,3.251,8.365,4.816,1.503,1.393,1.214,cross
0.052,0.06,0.031,0.819,1.346,0.757,0.625,0.266,0.975,cross
0.022,0.031,0.024,0.092,0.151,0.091,0.04,0.024,0.054,cross
2.22,1.654,2.09,1.705,2.383,2.66,0.705,0.634,0.915,cross
1.22,0.647,0.727,2.634,7.1,4.867,1.604,1.51,1.362,cross
0.055,0.095,0.08,0.241,0.428,0.308,0.163,0.104,0.227,cross
0.166,0.095,0.083,0.113,0.246,0.108,0.085,0.045,0.036,cross
2.746,0.828,2.891,3.331,7.635,7.159,1.948,1.594,1.403,cross
0.706,0.252,0.134,0.483,1.025,0.273,0.196,0.302,0.61,cross
0.088,0.072,0.033,0.059,0.072,0.069,0.056,0.026,0.038,cross
2.516,1.211,2.5,1.349,2.154,1.642,0.506,0.152,0.483,cross
0.707,0.343,0.261,3.641,7.123,5.389,1.913,1.404,1.645,cross
0.039,0.047,0.036,0.132,0.362,0.138,0.077,0.056,0.131,cross
2.349,1.046,2.255,0.381,0.977,0.4,0.16,0.165,0.293,cross
1.189,0.426,0.369,2.844,6.813,5.62,2.051,1.524,1.587,cross
0.074,0.052,0.051,0.286,0.545,0.235,0.194,0.056,0.296,cross
0.043,0.031,0.013,0.125,0.26,0.104,0.108,0.03,0.088,cross
2.264,1.701,2.293,3.15,8.095,6.824,1.892,1.382,1.54,cross
1.194,0.351,0.545,0.507,0.971,0.149,0.134,0.174,0.557,cross
0.06,0.085,0.088,0.081,0.268,0.077,0.094,0.022,0.044,cross
0.088,0.06,0.066,2.979,8.051,5.361,1.874,1.334,1.428,cross
2.945,1.029,2.46,0.308,0.928,0.247,0.248,0.197,0.465,cross
0.552,0.371,0.142,0.08,0.104,0.063,0.063,0.015,0.075,cross
0.05,0.108,0.04,3.121,8.597,6.317,1.423,1.506,1.166,cross
0.287,0.168,0.14,0.69,1.366,0.701,0.509,0.226,1.007,cross
2.743,1.037,2.454,0.141,0.167,0.063,0.072,0.041,0.108,cross
0.216,0.251,0.166,4.07,7.583,4.621,1.26,1.851,1.202,cross
0.091,0.19,0.059,0.863,1.696,1.047,0.671,0.709,0.979,cross
0.431,0.2,0.197,0.125,0.296,0.089,0.081,0.034,0.237,cross
2.832,1.416,2.227,2.044,3.107,2.871,0.905,0.936,0.908,cross
0.182,0.074,0.03,3.178,6.368,2.879,0.81,1.843,1.18,cross
0.052,0.108,0.039,0.084,0.211,0.103,0.051,0.049,0.107,cross
2.066,0.847,2.081,0.206,1.123,0.345,0.28,0.217,0.301,cross
1.504,0.479,0.692,5.005,8.167,4.923,1.704,2.843,1.61,cross
0.034,0.055,0.039,0.224,0.441,0.155,0.077,0.09,0.189,cross
0.319,0.139,0.101,0.233,0.573,0.076,0.153,0.047,0.139,cross
2.681,1.14,2.324,4.478,9.04,5.891,2.016,1.793,1.722,cross
0.298,0.157,0.216,0.295,0.83,0.253,0.238,0.109,0.488,cross
0.204,0.119,0.092,0.37,0.999,0.39,0.221,0.112,0.239,cross
2.825,1.318,2.152,3.551,7.627,6.285,2.043,1.591,1.763,cross
0.387,0.321,0.093,0.254,0.899,0.337,0.278,0.122,0.192,cross
0.059,0.062,0.052,0.084,0.228,0.131,0.098,0.03,0.08,cross
2.093,0.869,1.545,2.707,6.809,5.138,1.592,1.331,1.182,cross
1.718,0.453,0.739,0.371,1.45,0.749,0.475,0.216,0.732,cross
0.253,0.178,0.174,0.07,0.13,0.086,0.025,0.047,0.086,cross
1.262,0.451,1.093,0.204,0.577,0.203,0.179,0.149,0.312,cross
2.311,1.178,1.477,2.437,7.952,6.09,1.894,1.543,1.219,cross
0.125,0.099,0.147,0.185,1.025,0.215,0.201,0.148,0.286,cross
0.179,0.093,0.061,0.146,0.43,0.117,0.124,0.077,0.25,cross
3.241,1.346,2.391,2.918,8.033,5.521,1.616,1.307,1.244,cross
0.586,0.237,0.154,0.484,0.939,0.209,0.264,0.195,0.805,cross
0.072,0.117,0.087,0.086,0.148,0.077,0.068,0.042,0.084,cross
3.246,1.474,1.78,2.121,6.18,3.139,1.047,0.987,0.947,cross
0.923,0.381,0.244,1.544,2.87,3.12,1.032,1.09,1.039,cross
0.082,0.079,0.068,0.09,0.212,0.089,0.065,0.022,0.056,cross
2.12,0.637,1.483,0.49,1.616,0.677,0.282,0.239,0.466,cross
1.907,0.934,0.874,3.789,7.104,5.628,1.76,1.856,1.378,cross
0.081,0.106,0.105,0.165,0.398,0.168,0.102,0.049,0.11,cross
0.056,0.061,0.034,0.091,0.106,0.065,0.05,0.029,0.024,cross
2.265,1.553,2.302,3.194,8.532,5.365,1.625,1.572,1.142,cross
1.054,0.402,0.468,0.81,1.38,0.81,0.989,0.291,0.955,cross
0.067,0.027,0.02,0.075,0.176,0.137,0.094,0.033,0.078,cross
0.29,0.086,0.196,2.836,6.442,3.253,0.922,0.939,1.011,cross
2.961,1.345,2.671,2.602,2.975,2.534,1.008,1.166,1.117,cross
0.279,0.164,0.144,0.143,0.178,0.116,0.071,0.067,0.207,cross
0.059,0.035,0.03,0.135,0.259,0.074,0.098,0.038,0.078,cross
2.14,0.748,1.983,4.043,7.679,5.416,1.879,1.874,1.298,cross
1.294,0.523,0.471,0.525,1.073,0.321,0.287,0.25,0.701,cross
0.052,0.069,0.038,0.047,0.111,0.077,0.028,0.031,0.075,cross
0.306,0.284,0.113,0.462,1.77,0.856,0.389,0.186,0.508,cross
3.014,1.489,2.236,3.472,6.855,4.982,1.756,1.686,1.344,cross
0.062,0.093,0.061,0.136,0.354,0.128,0.108,0.059,0.115,cross
0.054,0.043,0.022,1.042,2.035,1.352,0.528,0.124,0.491,cross
1.089,0.583,1.016,3.735,6.741,4.18,1.34,1.261,1.558,cross
2.014,0.977,1.465,0.093,0.406,0.121,0.082,0.059,0.134,cross
0.138,0.171,0.118,0.113,0.434,0.127,0.186,0.045,0.146,cross
0.108,0.103,0.169,5.022,7.466,5.192,1.708,1.86,1.719,cross
2.796,1.281,2.115,0.285,0.699,0.222,0.177,0.122,0.336,cross
0.27,0.127,0.103,0.122,0.198,0.106,0.075,0.032,0.078,cross
0.825,0.381,0.289,3.631,7.452,4.461,1.294,1.546,1.173,cross
2.429,1.422,2.067,0.902,1.209,1.109,0.763,0.238,0.978,cross
0.092,0.059,0.046,0.123,0.118,0.093,0.058,0.035,0.084,cross
2.248,1.765,2.158,0.238,0.449,0.092,0.138,0.084,0.127,cross
0.907,0.442,0.445,4.761,6.964,5.446,2.073,1.758,1.664,cross
0.047,0.056,0.039,0.452,0.741,0.2,0.186,0.131,0.408,cross
2.289,1.571,2.13,0.1,0.124,0.091,0.039,0.047,0.059,cross
0.974,0.276,0.261,4.297,6.896,4.765,1.491,1.602,1.242,cross
0.103,0.177,0.077,0.604,1.438,1.031,0.618,0.408,0.879,cross
2.825,1.098,2.037,0.143,0.232,0.098,0.079,0.049,0.152,cross
0.695,0.243,0.148,0.456,0.985,0.265,0.204,0.164,0.39,cross
0.468,0.141,0.138,4.425,7.213,6.179,1.829,1.996,1.413,cross
2.756,1.15,1.723,0.1,0.508,0.231,0.129,0.096,0.237,cross
0.195,0.121,0.03,0.072,0.068,0.09,0.045,0.036,0.064,cross
1.9,0.762,1.59,2.473,5.85,3.439,1.134,1.047,0.828,cross
1.489,0.705,0.656,2.203,2.542,2.479,1.021,0.966,0.962,cross
0.058,0.05,0.057,0.141,0.148,0.077,0.066,0.038,0.069,cross
2.053,0.767,1.761,1.319,2.263,1.89,0.791,0.322,0.558,cross
1.635,0.773,0.427,3.378,6.115,3.219,1.202,1.472,1.31,cross
0.343,0.109,0.12,0.106,0.244,0.074,0.092,0.045,0.087,cross
3.058,1.087,1.927,0.186,0.603,0.213,0.27,0.085,0.24,cross
0.577,0.303,0.16,4.773,7.759,3.999,2.068,1.796,1.355,cross
0.222,0.2,0.21,0.381,0.715,0.236,0.189,0.093,0.32,cross
2.044,1.643,2.019,0.072,0.132,0.07,0.075,0.036,0.059,cross
1.015,0.335,0.251,4.243,7.544,4.839,1.236,1.722,1.207,cross
0.212,0.156,0.051,0.533,1.361,0.505,0.403,0.302,0.621,cross
2.947,1.473,2.15,0.131,0.159,0.097,0.132,0.07,0.162,cross
0.543,0.192,0.16,2.861,8.284,6.118,1.761,1.011,1.15,cross
0.056,0.093,0.045,0.526,1.227,0.997,1.167,0.222,0.763,cross
2.424,1.256,2.091,0.125,0.11,0.104,0.127,0.066,0.086,cross
0.957,0.316,0.563,2.841,8.653,5.295,1.516,0.96,1.179,cross
0.105,0.098,0.074,0.874,1.49,1.125,1.115,0.368,0.552,cross
2.669,1.383,2.169,0.107,0.251,0.107,0.112,0.067,0.122,cross
0.476,0.226,0.073,1.204,2.826,2.815,1.099,0.433,0.631,cross
0.037,0.038,0.038,2.221,5.811,3.656,1.64,1.155,0.957,cross
2.2,1.333,2.147,0.118,0.265,0.137,0.093,0.083,0.089,cross
0.927,0.38,0.209,0.409,2.082,2.297,0.641,0.358,0.288,cross
0.057,0.055,0.027,3.158,7.55,5.373,2.181,1.333,0.888,cross
2.726,1.299,2.137,0.076,0.211,0.128,0.144,0.051,0.095,cross
0.612,0.176,0.22,1.053,2.506,3.628,1.082,0.669,0.633,cross
0.048,0.084,0.061,1.897,7.364,4.31,1.409,1.123,0.898,cross
1.534,0.428,1.317,0.146,0.279,0.102,0.097,0.057,0.081,cross
1.84,1.236,1.133,0.294,1.687,1.121,0.37,0.196,0.377,cross
0.155,0.083,0.048,2.828,6.579,6.462,1.696,1.249,1.419,cross
0.097,0.149,0.083,0.191,0.527,0.208,0.121,0.058,0.132,cross
2.15,1.525,2.303,0.065,0.156,0.083,0.143,0.055,0.069,cross
1.156,0.339,0.373,2.393,7.218,5.397,2.07,1.34,0.97,cross
0.189,0.106,0.087,0.289,1.25,0.732,0.859,0.349,0.595,cross
0.198,0.17,0.098,0.08,0.224,0.101,0.07,0.068,0.076,cross
2.201,1.895,2.513,1.864,6.278,4.368,1.347,1.233,0.993,cross
0.608,0.234,0.18,0.517,2.386,1.577,0.977,0.462,0.697,cross
0.086,0.048,0.014,0.085,0.091,0.091,0.103,0.039,0.069,cross
1.448,0.346,1.487,1.295,2.867,3.558,1.234,0.655,0.78,cross
1.713,0.896,1.218,1.743,6.722,3.563,0.912,1.042,1.04,cross
0.089,0.065,0.052,0.11,0.153,0.102,0.068,0.04,0.103,cross
0.184,0.163,0.088,0.385,1.702,0.749,0.343,0.184,0.478,cross
2.481,1.5,2.432,3.012,7.366,6.413,2.151,1.702,1.354,cross
0.694,0.177,0.545,0.133,0.46,0.15,0.095,0.088,0.165,cross
0.083,0.117,0.045,0.226,0.766,0.299,0.253,0.104,0.269,cross
