X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Punch Type
1.345,4.958,2.907,0.237,0.277,0.678,0.298,0.467,0.39,right_nopunch
0.134,0.105,0.074,4.893,4.59,3.607,0.946,2.747,1.611,right_nopunch
0.116,0.156,0.056,0.925,0.773,1.303,0.274,1.959,1.231,right_nopunch
1.164,5.438,2.921,3.422,5.063,3.3,0.862,2.741,1.245,right_nopunch
0.077,0.129,0.049,1.58,0.952,1.869,0.415,2.308,1.352,right_nopunch
0.027,0.096,0.029,1.37,0.836,0.843,0.119,1.374,0.483,right_nopunch
1.023,5.676,3.046,5.516,4.721,3.678,0.975,3.361,2.365,right_nopunch
0.172,0.158,0.064,0.154,0.082,0.172,0.065,0.055,0.03,right_nopunch
0.028,0.043,0.012,3.855,5.44,3.617,0.822,2.653,1.648,right_nopunch
1.086,5.229,2.801,0.788,0.619,1.157,0.367,1.841,1.14,right_nopunch
0.173,0.287,0.159,6.666,4.745,5.266,0.852,2.914,1.206,right_nopunch
0.054,0.034,0.042,0.878,0.737,1.28,0.274,1.894,1.264,right_nopunch
1.091,5.221,2.756,0.163,0.075,0.223,0.052,0.156,0.045,right_nopunch
0.365,0.512,0.331,7.615,4.36,5.172,1.231,4.28,2.551,right_nopunch
0.025,0.034,0.021,0.179,0.11,0.293,0.083,0.078,0.097,right_nopunch
0.587,2.628,1.606,1.411,0.838,1.155,0.093,1.43,0.423,right_nopunch
0.61,2.688,1.587,5.549,4.837,5.232,1.141,3.586,2.113,right_nopunch
0.016,0.041,0.021,0.125,0.096,0.107,0.055,0.076,0.036,right_nopunch
0.03,0.057,0.033,4.518,5.746,5.596,1.033,4.438,2.12,right_nopunch
1.338,5.182,2.745,0.305,0.186,0.712,0.209,0.446,0.331,right_nopunch
0.061,0.149,0.083,5.922,5.23,3.749,0.673,2.681,1.462,right_nopunch
0.017,0.078,0.027,0.517,0.737,1.143,0.426,2.096,1.006,right_nopunch
1.598,6.111,2.745,0.267,0.155,0.433,0.074,0.333,0.11,right_nopunch
0.272,0.148,0.229,7.528,5.84,6.188,1.18,4.595,2.809,right_nopunch
0.154,0.106,0.068,0.174,0.233,0.309,0.108,0.094,0.086,right_nopunch
0.934,3.657,1.829,6.165,4.827,4.199,0.764,3.858,2.201,right_nopunch
0.785,2.356,1.001,0.376,0.395,0.813,0.14,0.601,0.428,right_nopunch
0.042,0.071,0.029,5.774,5.658,4.961,0.787,2.545,1.693,right_nopunch
0.518,2.56,1.386,0.591,0.605,1.443,0.301,1.999,0.927,right_nopunch
0.919,3.304,1.642,4.168,4.465,2.159,0.504,2.331,1.281,right_nopunch
0.054,0.065,0.05,1.433,1.792,1.246,0.26,2.055,1.551,right_nopunch
0.036,0.107,0.043,0.232,0.164,0.354,0.058,0.319,0.124,right_nopunch
1.284,5.57,2.727,5.729,6.522,3.65,0.899,4.145,2.785,right_nopunch
0.045,0.102,0.051,0.226,0.188,0.492,0.148,0.125,0.183,right_nopunch
0.645,3.538,1.782,6.569,4.402,4.729,0.642,2.499,1.209,right_nopunch
0.677,2.476,1.044,0.68,0.992,1.264,0.318,2.174,0.91,right_nopunch
0.019,0.048,0.016,0.09,0.091,0.1,0.041,0.056,0.037,right_nopunch
0.638,3.092,1.783,6.143,6.096,4.041,1.068,4.121,2.546,right_nopunch
0.548,2.668,1.207,0.256,0.47,0.537,0.228,0.533,0.396,right_nopunch
0.032,0.033,0.021,2.82,1.913,1.593,0.482,2.219,1.114,right_nopunch
0.025,0.057,0.026,3.809,4.21,3.632,0.485,2.308,1.42,right_nopunch
1.198,5.756,2.743,0.072,0.06,0.105,0.042,0.064,0.036,right_nopunch
0.081,0.142,0.054,5.159,5.166,5.393,1.289,3.957,1.959,right_nopunch
0.024,0.055,0.018,0.351,0.439,0.713,0.188,0.845,0.45,right_nopunch
1.009,5.641,2.776,1.687,1.221,1.068,0.201,1.739,0.542,right_nopunch
0.22,0.258,0.087,2.338,4.769,2.923,0.69,2.693,2.051,right_nopunch
0.02,0.031,0.017,0.197,0.166,0.247,0.089,0.099,0.078,right_nopunch
1.213,5.856,2.818,6.076,5.596,3.522,0.764,4.006,2.112,right_nopunch
0.115,0.145,0.066,0.203,0.323,0.696,0.412,0.642,0.31,right_nopunch
0.035,0.028,0.011,4.796,4.774,2.872,0.801,2.609,1.203,right_nopunch
0.654,3.357,1.538,1.686,1.096,1.74,0.388,2.52,1.226,right_nopunch
0.582,2.745,1.04,0.206,0.085,0.255,0.071,0.41,0.084,right_nopunch
0.013,0.032,0.019,5.77,4.821,4.487,1.141,4.654,2.314,right_nopunch
0.811,2.947,2.148,0.195,0.169,0.253,0.03,0.112,0.078,right_nopunch
0.54,2.69,0.934,5.768,5.097,4.134,0.984,4.286,2.377,right_nopunch
0.029,0.034,0.026,0.21,0.313,0.464,0.146,0.375,0.187,right_nopunch
0.07,0.068,0.025,4.986,4.83,4.54,0.833,2.729,1.398,right_nopunch
1.266,5.57,2.81,0.767,0.757,0.98,0.243,2.032,1.061,right_nopunch
0.072,0.078,0.057,0.14,0.083,0.103,0.039,0.293,0.032,right_nopunch
0.014,0.024,0.015,7.67,5.398,5.481,0.886,4.734,2.191,right_nopunch
0.919,3.44,1.732,0.223,0.146,0.364,0.126,0.103,0.12,right_nopunch
0.764,3.08,0.934,1.251,0.363,0.427,0.293,1.44,0.359,right_nopunch
0.022,0.051,0.022,4.636,5.703,4.988,1.283,3.565,2.203,right_nopunch
0.86,5.042,2.752,0.111,0.07,0.144,0.049,0.099,0.041,right_nopunch
0.502,1.208,0.463,6.965,5.068,5.104,0.743,2.732,1.271,right_nopunch
0.026,0.044,0.017,0.673,0.928,1.094,0.393,2.239,0.709,right_nopunch
0.753,3.088,1.703,0.071,0.061,0.142,0.041,0.099,0.04,right_nopunch
0.672,2.91,1.233,5.19,5.328,3.623,1.21,5.016,2.077,right_nopunch
0.036,0.091,0.042,0.109,0.19,0.367,0.158,0.103,0.094,right_nopunch
0.032,0.156,0.053,2.691,2.623,1.756,0.505,2.449,1.221,right_nopunch
