X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
0.372,0.234,0.442,0.226,0.159,0.221,0.228,0.267,0.795,left_nopunch
0.389,0.175,0.314,0.238,0.103,0.166,8.48,7.405,4.929,left_nopunch
0.285,0.325,0.381,0.365,0.221,0.172,0.066,0.042,0.107,left_nopunch
0.349,0.233,0.247,0.26,0.117,0.132,0.12,0.073,0.21,left_nopunch
0.348,0.117,0.359,0.398,0.242,0.23,8.11,8.136,4.912,left_nopunch
0.764,0.219,0.69,0.573,0.236,0.252,0.094,0.082,0.111,left_nopunch
0.61,0.399,0.51,0.275,0.228,0.153,0.141,0.089,0.141,left_nopunch
0.666,0.336,0.539,0.62,0.253,0.337,8.461,6.862,5.912,left_nopunch
0.514,0.283,0.696,0.293,0.275,0.182,0.127,0.081,0.189,left_nopunch
0.412,0.327,0.439,0.211,0.114,0.142,0.191,0.161,0.295,left_nopunch
0.626,0.31,0.519,0.501,0.219,0.188,7.834,6.607,6.26,left_nopunch
0.531,0.223,0.575,0.193,0.155,0.219,0.221,0.449,0.545,left_nopunch
0.473,0.348,0.587,0.37,0.212,0.195,0.162,0.087,0.203,left_nopunch
0.248,0.257,0.303,0.163,0.098,0.065,6.714,5.562,5.602,left_nopunch
0.491,0.821,0.389,0.65,0.204,0.201,0.14,0.092,0.232,left_nopunch
0.646,0.314,0.63,0.702,0.292,0.281,0.313,0.176,0.562,left_nopunch
0.426,0.159,0.325,0.1,0.142,0.171,8.855,6.159,4.699,left_nopunch
0.468,0.401,0.322,0.326,0.185,0.293,0.098,0.079,0.126,left_nopunch
0.68,0.611,0.475,0.47,0.333,0.233,1.73,1.139,1.367,left_nopunch
0.666,0.371,0.496,0.422,0.236,0.268,5.562,5.99,5.308,left_nopunch
1.058,0.465,0.709,0.151,0.179,0.181,0.072,0.054,0.098,left_nopunch
1.414,1.099,0.985,0.404,0.291,0.251,6.881,5.591,4.502,left_nopunch
0.787,0.306,1.007,0.586,0.323,0.28,0.759,0.909,0.806,left_nopunch
1.126,0.691,1.024,0.585,0.366,0.316,0.056,0.046,0.101,left_nopunch
0.691,0.49,0.621,0.373,0.312,0.253,7.977,5.437,4.012,left_nopunch
0.815,0.504,0.703,0.446,0.363,0.188,0.238,0.467,0.559,left_nopunch
0.937,0.511,0.659,0.267,0.222,0.154,0.129,0.192,0.33,left_nopunch
0.747,0.444,0.564,0.494,0.221,0.269,7.277,6.082,5.908,left_nopunch
0.716,0.313,0.563,0.207,0.195,0.172,0.242,0.153,0.263,left_nopunch
0.401,0.253,0.35,0.27,0.13,0.153,0.15,0.155,0.261,left_nopunch
0.609,0.185,0.418,0.256,0.176,0.157,8.183,6.255,5.358,left_nopunch
0.319,0.167,0.38,0.265,0.189,0.179,0.12,0.308,0.342,left_nopunch
0.806,0.323,0.448,0.201,0.207,0.197,0.067,0.063,0.067,left_nopunch
0.635,0.319,0.72,0.39,0.206,0.2,7.786,6.12,5.556,left_nopunch
0.764,0.393,0.504,0.373,0.17,0.151,0.149,0.236,0.255,left_nopunch
0.942,0.358,0.718,0.372,0.275,0.261,0.057,0.046,0.072,left_nopunch
0.513,0.489,0.529,0.382,0.354,0.354,8.872,6.856,5.591,left_nopunch
0.392,0.332,0.493,0.174,0.142,0.074,0.244,0.414,0.488,left_nopunch
0.431,0.228,0.52,0.256,0.172,0.136,0.1,0.055,0.143,left_nopunch
0.609,0.386,0.676,0.249,0.253,0.237,8.136,6.197,4.937,left_nopunch
0.493,0.34,0.374,0.319,0.217,0.189,0.254,0.481,0.572,left_nopunch
0.441,0.398,0.437,0.329,0.179,0.187,0.061,0.037,0.111,left_nopunch
0.664,0.491,0.673,0.617,0.265,0.334,3.559,2.9,2.402,left_nopunch
0.685,0.243,0.446,0.121,0.171,0.163,5.96,4.166,2.895,left_nopunch
0.509,0.17,0.495,0.475,0.261,0.266,0.059,0.054,0.084,left_nopunch
0.597,0.403,0.559,0.166,0.163,0.161,0.046,0.052,0.108,left_nopunch
0.304,0.383,0.341,0.411,0.211,0.236,6.803,6.2,6.015,left_nopunch
1.05,0.45,0.795,0.344,0.286,0.339,0.157,0.109,0.204,left_nopunch
0.846,0.82,0.606,0.566,0.199,0.343,0.059,0.044,0.067,left_nopunch
0.579,0.399,0.665,0.781,0.359,0.468,6.793,6.385,5.69,left_nopunch
0.401,0.788,0.63,0.207,0.093,0.219,0.541,0.525,0.853,left_nopunch
0.606,0.356,0.496,0.549,0.231,0.328,0.171,0.1,0.377,left_nopunch
0.864,0.267,0.568,0.169,0.22,0.134,6.704,6.529,5.375,left_nopunch
0.561,0.328,0.52,0.524,0.301,0.369,0.855,1.502,1.416,left_nopunch
0.6,0.431,0.554,0.347,0.23,0.175,0.104,0.063,0.118,left_nopunch
0.452,0.24,0.55,0.6,0.217,0.286,2.944,1.552,1.711,left_nopunch
0.543,0.479,0.656,0.191,0.198,0.176,4.161,6.098,4.817,left_nopunch
0.666,0.486,0.743,0.335,0.27,0.188,0.125,0.055,0.11,left_nopunch
0.361,0.467,0.387,0.414,0.157,0.109,0.079,0.069,0.092,left_nopunch
0.663,0.536,0.595,0.558,0.196,0.239,9.024,7.653,5.434,left_nopunch
0.67,0.438,0.596,0.531,0.269,0.414,0.121,0.057,0.118,left_nopunch
1.126,0.7,0.686,0.2,0.16,0.225,7.997,6.446,4.24,left_nopunch
0.676,0.434,0.606,0.65,0.27,0.354,1.487,1.581,1.54,left_nopunch
0.784,0.478,0.654,0.351,0.18,0.239,0.094,0.044,0.067,left_nopunch
0.538,0.247,0.606,0.599,0.262,0.302,5.657,5.494,4.052,left_nopunch
0.829,0.486,0.647,0.225,0.159,0.264,2.579,2.44,2.174,left_nopunch
0.563,0.327,0.678,0.563,0.307,0.255,0.075,0.036,0.071,left_nopunch
0.573,0.51,0.44,0.283,0.174,0.18,0.043,0.042,0.047,left_nopunch
0.657,0.409,0.534,0.447,0.21,0.124,8.248,7.165,5.625,left_nopunch
0.682,0.611,0.612,0.206,0.223,0.194,0.101,0.174,0.2,left_nopunch
0.461,0.345,0.54,0.229,0.203,0.195,0.048,0.033,0.059,left_nopunch
0.427,0.497,0.308,0.48,0.249,0.2,7.262,6.562,5.275,left_nopunch
0.645,0.423,0.354,0.462,0.177,0.15,0.23,0.299,0.245,left_nopunch
0.529,0.242,0.617,0.582,0.272,0.283,0.047,0.041,0.086,left_nopunch
0.517,0.322,0.593,0.46,0.175,0.16,8.765,6.485,4.973,left_nopunch
0.437,0.401,0.701,0.446,0.193,0.225,0.213,0.402,0.289,left_nopunch
0.779,0.44,0.395,0.422,0.145,0.199,0.035,0.035,0.056,left_nopunch
0.392,0.201,0.646,0.493,0.253,0.227,5.707,5.749,4.219,left_nopunch
0.734,0.272,0.563,0.129,0.21,0.111,1.565,1.854,1.319,left_nopunch
0.525,0.325,0.555,0.398,0.24,0.216,0.043,0.036,0.06,left_nopunch
1.002,0.42,0.599,0.402,0.224,0.157,6.306,5.531,4.832,left_nopunch
0.501,0.376,0.681,0.528,0.237,0.146,1.173,1.427,1.244,left_nopunch
0.731,0.286,0.565,0.188,0.199,0.13,0.056,0.052,0.072,left_nopunch
0.584,0.322,0.596,0.5,0.255,0.304,0.066,0.049,0.096,left_nopunch
0.659,0.411,0.549,0.219,0.147,0.15,7.58,6.487,5.438,left_nopunch
0.383,0.482,0.39,0.679,0.315,0.417,0.111,0.167,0.206,left_nopunch
0.499,0.3,0.529,0.186,0.168,0.19,0.042,0.038,0.069,left_nopunch
0.597,0.267,0.549,0.383,0.182,0.232,6.715,4.596,4.265,left_nopunch
0.373,0.378,0.499,0.317,0.16,0.172,1.479,1.446,1.252,left_nopunch
0.437,0.183,0.444,0.314,0.198,0.216,0.067,0.058,0.089,left_nopunch
0.482,0.366,0.506,0.458,0.204,0.348,7.421,6.58,5.327,left_nopunch
0.643,0.318,0.617,0.144,0.131,0.201,0.264,0.605,0.52,left_nopunch
0.445,0.343,0.44,0.676,0.258,0.339,0.061,0.042,0.111,left_nopunch
0.349,0.487,0.391,0.338,0.109,0.254,5.927,4.802,3.841,left_nopunch
0.413,0.418,0.451,0.544,0.15,0.301,2.265,1.898,1.494,left_nopunch
0.583,0.329,0.496,0.201,0.143,0.246,0.078,0.07,0.12,left_nopunch
0.559,0.475,0.54,0.21,0.151,0.097,0.079,0.053,0.135,left_nopunch
0.475,0.312,0.519,0.583,0.275,0.307,7.292,6.362,5.846,left_nopunch
0.736,0.54,0.474,0.542,0.151,0.279,0.132,0.121,0.23,left_nopunch
0.395,0.38,0.516,0.545,0.125,0.279,0.069,0.037,0.09,left_nopunch
