"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.188257310E0,1.604818463E0,2.006406784E-1,-7.349903584E-1
3.208131685E0,1.610347033E0,4.217205048E-1,-5.425742865E-1
3.228019237E0,1.810678005E0,5.892562866E-2,3.071761131E-2
3.247899757E0,2.087552547E0,4.962158203E-2,3.361897469E-1
3.267817101E0,2.221720457E0,4.218616486E-1,1.421066523E-1
3.287689185E0,2.154887676E0,4.999771118E-1,-1.152018309E-1
3.307582987E0,1.924492836E0,4.323759079E-1,-6.327259541E-2
3.327490539E0,1.857556105E0,5.877180099E-1,4.119455814E-2
3.347377622E0,1.851611018E0,7.570304871E-1,-5.939495564E-2
3.367278664E0,1.808515072E0,9.821186066E-1,-1.466643810E-1
3.387131893E0,1.567412972E0,8.994874954E-1,-1.259351969E-1
3.407050122E0,1.367797613E0,7.140560150E-1,1.365921497E-1
3.426918143E0,1.283601761E0,6.512918472E-1,3.692237139E-1
3.446832205E0,1.405040979E0,7.822942734E-1,5.427438021E-1
3.466722518E0,1.347925425E0,7.519216537E-1,4.321298599E-1
3.486613924E0,1.147076845E0,6.890201569E-1,3.871111870E-1
3.506506007E0,8.016312122E-1,5.698318481E-1,3.578131199E-1
3.526379237E0,5.211522579E-1,5.154809952E-1,2.646270990E-1
3.546271789E0,3.317878246E-1,5.685148239E-1,2.201547623E-1
3.566172310E0,7.186651230E-2,4.810047150E-1,1.771389246E-1
3.586056737E0,5.103397369E-2,3.684215546E-1,2.993618250E-1
3.605973507E0,6.151795387E-2,3.269786835E-1,3.092170954E-1
3.625854810E0,-8.222198486E-2,3.829021454E-1,1.901456118E-1
3.645727362E0,-1.908020973E-1,2.584180832E-1,1.677353382E-1
3.665612153E0,-3.450913429E-1,3.775024414E-2,1.109367609E-1
3.685546476E0,-4.230303764E-1,-1.617336273E-2,1.235430241E-1
3.705393924E0,-4.747674465E-1,1.619052887E-2,2.123051882E-1
3.725306060E0,-4.851872921E-1,2.481555939E-2,2.214837074E-1
3.745185018E0,-5.435035229E-1,-5.951786041E-2,2.727289200E-1
3.765083455E0,-5.952203274E-1,-1.877355576E-1,3.204170465E-1
3.784962518E0,-6.201491356E-1,-1.110353470E-1,3.409882784E-1
3.804870382E0,-6.019921303E-1,5.929851532E-2,2.957124710E-1
3.824768039E0,-6.758294106E-1,-9.195327759E-3,1.989762783E-1
3.844669549E0,-8.506920338E-1,-1.089153290E-1,2.357265949E-1
3.864585018E0,-1.020381451E0,-8.419036865E-2,2.810307741E-1
3.884410591E0,-1.232319593E0,1.132507324E-1,3.230770826E-1
3.904323664E0,-1.453349829E0,3.333854675E-2,2.892839909E-1
3.924204185E0,-1.376710415E0,-2.398319244E-1,2.598563433E-1
3.944116476E0,-9.889264107E-1,-2.932987213E-1,3.922045231E-2
3.963982778E0,-8.664617538E-1,-3.168296814E-1,-3.414467573E-1
3.983882153E0,-1.251447439E0,-6.005849838E-1,-6.790389419E-1
4.003793872E0,-1.261637211E0,-7.048444748E-1,-5.169141293E-1
4.023648768E0,-6.038780212E-1,-9.230794907E-1,-2.888284922E-1
4.043569914E0,-1.676700115E-1,-1.248700142E0,-5.957788825E-1
4.063451737E0,-4.996371269E-2,-1.513986588E0,-1.144500852E0
4.083333664E0,1.255736351E-1,-1.630206585E0,-1.425548077E0
4.103228091E0,9.498302937E-1,-1.499396324E0,-9.648176432E-1
4.123113560E0,1.504629374E0,-1.206656933E0,-5.955919027E-1
4.143016685E0,1.491776466E0,-1.032603741E0,-7.070918083E-1
4.162895747E0,1.749913931E0,-1.143446922E0,-3.039572239E-1
4.182786789E0,2.494717360E0,-1.325469494E0,1.324915886E-1
4.202686164E0,2.681895971E0,-2.311782837E0,1.294582367E0
4.222597674E0,3.208826542E0,-3.373564243E0,2.640952349E0
