"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.348826896E0,1.820882708E-1,-5.264914036E-1,-1.723680198E-1
2.368700750E0,2.609820962E-1,-6.229615808E-1,-2.294245660E-1
2.388603302E0,3.207017183E-1,-6.374087930E-1,-2.886115611E-1
2.408493198E0,3.681045771E-1,-6.363435984E-1,-3.450689316E-1
2.428409240E0,4.091826379E-1,-6.709636450E-1,-3.764933050E-1
2.448295385E0,4.746944606E-1,-7.349442244E-1,-3.829512596E-1
2.468200594E0,5.434685946E-1,-7.855427861E-1,-3.882774413E-1
2.488049708E0,5.983946323E-1,-8.079126477E-1,-3.818860352E-1
2.507940750E0,6.420692205E-1,-8.218272924E-1,-3.813534081E-1
2.527849552E0,6.847451329E-1,-8.766867518E-1,-3.834838867E-1
2.547725281E0,7.417350411E-1,-9.593089223E-1,-3.776251078E-1
2.567641427E0,7.892045379E-1,-9.992551804E-1,-3.663735688E-1
2.587518979E0,7.961285114E-1,-9.513196945E-1,-3.535907865E-1
2.607427885E0,7.817478776E-1,-8.340774775E-1,-3.338839710E-1
2.627314656E0,7.609758377E-1,-7.204970121E-1,-2.939377427E-1
2.647204969E0,7.145716548E-1,-6.266899109E-1,-2.278267145E-1
2.667101948E0,6.239602566E-1,-5.398734212E-1,-1.531938314E-1
2.686983198E0,5.163051486E-1,-4.833494723E-1,-8.548495173E-2
2.706894135E0,4.139761925E-1,-4.545882046E-1,-3.595161438E-2
2.726764604E0,3.292235732E-1,-4.209667742E-1,5.659050308E-3
2.746641896E0,2.343512625E-1,-3.383446336E-1,4.507267103E-2
2.766545646E0,1.155112088E-1,-2.083196342E-1,9.413997084E-2
2.786450385E0,-6.058512721E-3,-6.384740770E-2,1.500647068E-1
2.806365542E0,-1.153114736E-1,6.564498693E-2,1.964689195E-1
2.826281948E0,-2.107164115E-1,1.477345079E-1,2.321542203E-1
2.846109604E0,-2.922733128E-1,1.823545843E-1,2.742975056E-1
2.865995958E0,-3.748954535E-1,1.908764392E-1,3.270265460E-1
2.885885750E0,-4.724308550E-1,1.860828996E-1,3.920723200E-1
2.905787312E0,-5.609117746E-1,1.946047544E-1,4.501275420E-1
2.925677521E0,-6.216300726E-1,2.191716880E-1,5.071840882E-1
2.945580073E0,-6.589797735E-1,2.617810071E-1,5.594470501E-1
2.965484552E0,-6.797518134E-1,3.108483255E-1,6.079151630E-1
2.985342104E0,-6.824148893E-1,3.539902568E-1,6.345459819E-1
3.005249344E0,-6.664364338E-1,3.924052119E-1,6.324155331E-1
3.025140646E0,-6.322823763E-1,4.222317338E-1,6.079151630E-1
3.045038094E0,-5.758250356E-1,4.360797703E-1,5.685015321E-1
3.064917833E0,-4.995943010E-1,4.275579154E-1,5.364779830E-1
3.084821323E0,-4.073850513E-1,4.259600639E-1,5.125102401E-1
3.104734656E0,-2.949363887E-1,4.627105892E-1,4.736292362E-1
3.124602625E0,-1.680405140E-1,5.213649869E-1,4.187031686E-1
3.144497781E0,-5.665707961E-2,5.708982944E-1,3.541899920E-1
3.164381896E0,4.087831825E-2,5.778889060E-1,2.870802879E-1
3.184295594E0,1.203047559E-1,5.362782478E-1,2.321542203E-1
3.204226583E0,1.740990281E-1,4.984624684E-1,1.788925678E-1
3.224073146E0,2.007964253E-1,5.021907687E-1,1.143793985E-1
3.243954240E0,2.039921284E-1,5.091148019E-1,4.187697172E-2
3.263842000E0,1.932732165E-1,4.803535044E-1,-2.103835158E-2
3.283726896E0,1.709033251E-1,4.046553969E-1,-8.228924870E-2
3.303627104E0,1.394789517E-1,2.948698103E-1,-1.420088708E-1
3.323514292E0,1.176416725E-1,1.802241057E-1,-1.990654171E-1
3.343402052E0,1.096524224E-1,6.724283099E-2,-2.454030514E-1
3.363301115E0,1.064567268E-1,-6.224955618E-2,-2.768274248E-1
3.383208823E0,1.208373681E-1,-2.157762647E-1,-2.907420397E-1
