"Time (s)","X (hPa)"
1.723215145E2,1.010330276E3
1.733949445E2,1.010333099E3
1.744684335E2,1.010336838E3
1.755419005E2,1.010340881E3
1.766153785E2,1.010341110E3
1.776888405E2,1.010340881E3
1.787623075E2,1.010338898E3
1.798357445E2,1.010336380E3
1.809091645E2,1.010330582E3
1.819825875E2,1.010327759E3
1.830560615E2,1.010324631E3
1.841295085E2,1.010324631E3
1.852029695E2,1.010327225E3
1.862764695E2,1.010328064E3
1.873499185E2,1.010328903E3
1.884233785E2,1.010331955E3
1.894968055E2,1.010333862E3
1.905703235E2,1.010333939E3
1.916437925E2,1.010334549E3
1.927172605E2,1.010336227E3
1.937907335E2,1.010336838E3
1.948642035E2,1.010338287E3
1.959376785E2,1.010338287E3
1.970111565E2,1.010336838E3
1.980847085E2,1.010333328E3
1.991582305E2,1.010331345E3
2.002316685E2,1.010328903E3
2.013051445E2,1.010327225E3
2.023786105E2,1.010326385E3
2.034521085E2,1.010326385E3
2.045256405E2,1.010326385E3
2.055991635E2,1.010325470E3
2.066726645E2,1.010321960E3
2.077461775E2,1.010321960E3
2.088197005E2,1.010322342E3
2.098932445E2,1.010323792E3
2.109667825E2,1.010326309E3
2.120402425E2,1.010326309E3
2.131136975E2,1.010323410E3
2.141871775E2,1.010323181E3
2.152606625E2,1.010322342E3
2.163341625E2,1.010320816E3
2.174077055E2,1.010320816E3
2.184812835E2,1.010322723E3
2.195548195E2,1.010324631E3
2.206283275E2,1.010325928E3
2.217019245E2,1.010336227E3
2.227754465E2,1.010341034E3
2.238490065E2,1.010343857E3
2.249225095E2,1.010344238E3
2.259960765E2,1.010344238E3
2.270696495E2,1.010335541E3
2.281431865E2,1.010326996E3
2.292167465E2,1.010319748E3
2.302902205E2,1.010313110E3
2.313637225E2,1.010309067E3
2.324372355E2,1.010305099E3
2.335108195E2,1.010301895E3
2.345843805E2,1.010297012E3
2.356579015E2,1.010294647E3
2.367314175E2,1.010294647E3
2.378049755E2,1.010297775E3
2.388784775E2,1.010298767E3
2.399520325E2,1.010303574E3
2.410255325E2,1.010304260E3
2.420990605E2,1.010305634E3
2.431725955E2,1.010305634E3
2.442460955E2,1.010308914E3
2.453195985E2,1.010310593E3
2.463931055E2,1.010315781E3
2.474665615E2,1.010318298E3
2.485399855E2,1.010318756E3
2.496134955E2,1.010318298E3
2.506870435E2,1.010317917E3
2.517606145E2,1.010313492E3
2.528341425E2,1.010313492E3
2.539077095E2,1.010317230E3
2.549812565E2,1.010320587E3
2.560548075E2,1.010321045E3
2.571283005E2,1.010329285E3
2.582018545E2,1.010332642E3
2.592754045E2,1.010338974E3
2.603489185E2,1.010347137E3
2.614224405E2,1.010352859E3
2.624960295E2,1.010353317E3
2.635696485E2,1.010352859E3
2.646432345E2,1.010350571E3
2.657168515E2,1.010345001E3
2.667904495E2,1.010342712E3
2.678640735E2,1.010338974E3
2.689376525E2,1.010336075E3
2.700112025E2,1.010336075E3
2.710847485E2,1.010336075E3
2.721583135E2,1.010336075E3
2.732318855E2,1.010336075E3
2.743054235E2,1.010336380E3
2.753789545E2,1.010336456E3
2.764525215E2,1.010338058E3
2.775260445E2,1.010338593E3
2.785995505E2,1.010339737E3
2.796730575E2,1.010340881E3
2.807466035E2,1.010341415E3
2.818201555E2,1.010344620E3
2.828937085E2,1.010347366E3
2.839672665E2,1.010350266E3
2.850408515E2,1.010350342E3
2.861144435E2,1.010351410E3
2.871880475E2,1.010352402E3
2.882616175E2,1.010353241E3
2.893352115E2,1.010354538E3
2.904088095E2,1.010356064E3
2.914823935E2,1.010361023E3
2.925559845E2,1.010361023E3
2.936295985E2,1.010360413E3
2.947032225E2,1.010357742E3
2.957768225E2,1.010355530E3
2.968504185E2,1.010352783E3
