X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
0.203,0.182,0.444,0.128,0.12,0.057,3.838,5.74,2.865,left_nopunch
0.365,0.362,0.805,0.107,0.104,0.123,1.151,0.906,1.04,left_nopunch
0.253,0.318,0.383,0.124,0.225,0.091,3.224,6.968,2.695,left_nopunch
0.451,0.352,1.115,0.148,0.294,0.216,1.361,1.76,0.713,left_nopunch
0.462,0.627,1.064,0.321,0.263,0.176,4.161,7.187,3.187,left_nopunch
0.343,0.57,0.833,0.265,0.157,0.119,1.243,1.542,0.717,left_nopunch
0.193,0.424,0.582,0.27,0.089,0.04,3.656,6.625,1.568,left_nopunch
0.172,0.553,0.696,0.341,0.166,0.105,1.578,1.637,0.944,left_nopunch
0.163,0.358,0.656,0.405,0.155,0.073,3.228,6.879,2.323,left_nopunch
0.203,0.541,0.634,0.376,0.129,0.197,1.484,1.613,0.869,left_nopunch
0.23,0.428,0.528,0.33,0.136,0.103,3.611,7.03,2.923,left_nopunch
0.174,0.285,0.436,0.236,0.123,0.074,1.501,1.694,0.854,left_nopunch
0.231,0.143,0.415,0.136,0.116,0.048,3.828,6.645,2.077,left_nopunch
0.105,0.182,0.504,0.182,0.075,0.052,1.416,1.183,0.658,left_nopunch
0.18,0.21,0.58,0.199,0.13,0.054,3.368,6.366,2.34,left_nopunch
0.184,0.173,0.507,0.215,0.143,0.052,1.333,1.397,0.759,left_nopunch
0.227,0.335,0.592,0.31,0.116,0.078,3.128,5.53,2.154,left_nopunch
0.137,0.243,0.534,0.239,0.077,0.058,1.445,1.598,1.24,left_nopunch
0.132,0.176,0.461,0.243,0.077,0.066,3.47,5.777,2.642,left_nopunch
0.227,0.223,0.536,0.253,0.178,0.04,1.526,1.992,1.248,left_nopunch
0.375,0.135,0.438,0.1,0.266,0.082,4.026,6.798,4.579,left_nopunch
0.285,0.219,0.57,0.19,0.133,0.079,1.39,2.552,1.36,left_nopunch
0.217,0.382,0.501,0.237,0.108,0.098,3.084,5.647,2.287,left_nopunch
0.176,0.169,0.254,0.093,0.163,0.083,1.645,2.786,1.398,left_nopunch
0.25,0.328,0.127,0.153,0.148,0.138,2.531,4.671,1.935,left_nopunch
0.164,0.119,0.124,0.065,0.064,0.065,1.766,3.995,1.531,left_nopunch
0.214,0.365,0.155,0.126,0.09,0.133,3.227,5.076,2.688,left_nopunch
0.406,0.765,1.183,0.383,0.282,0.192,1.737,2.57,1.331,left_nopunch
0.488,0.615,0.542,0.163,0.241,0.104,3.216,6.644,2.645,left_nopunch
0.369,0.572,0.244,0.051,0.084,0.061,1.473,1.648,0.983,left_nopunch
0.09,0.15,0.261,0.077,0.047,0.068,2.544,5.004,2.231,left_nopunch
0.383,0.366,0.694,0.252,0.182,0.226,1.794,2.302,1.134,left_nopunch
0.483,0.589,0.787,0.355,0.159,0.229,3.202,6.289,3.09,left_nopunch
0.234,0.323,0.577,0.379,0.12,0.223,1.739,2.347,1.151,left_nopunch
0.233,0.384,0.631,0.352,0.055,0.112,3.026,2.514,2.129,left_nopunch
0.233,0.541,0.823,0.307,0.178,0.189,3.111,6.538,1.218,left_nopunch
0.223,0.642,0.927,0.367,0.187,0.31,2.283,5.019,2.076,left_nopunch
0.249,0.507,0.827,0.362,0.198,0.225,1.969,2.781,0.986,left_nopunch
0.276,0.549,0.843,0.407,0.202,0.139,2.602,5.136,1.648,left_nopunch
0.273,0.64,0.921,0.329,0.222,0.09,1.571,2.773,1.347,left_nopunch
0.323,0.691,1.028,0.312,0.156,0.137,2.429,5.718,2.286,left_nopunch
0.557,0.44,0.797,0.32,0.289,0.08,1.852,2.824,1.308,left_nopunch
0.51,0.563,0.752,0.29,0.214,0.133,2.166,2.8,1.688,left_nopunch
0.437,0.489,0.793,0.328,0.215,0.128,2.18,5.391,1.752,left_nopunch
0.296,0.58,0.906,0.403,0.162,0.152,2.274,2.993,1.604,left_nopunch
0.253,0.473,0.865,0.3,0.098,0.082,2.691,5.55,2.068,left_nopunch
0.328,0.44,0.651,0.313,0.094,0.083,1.266,2.241,1.593,left_nopunch
0.403,0.543,0.548,0.294,0.186,0.106,2.579,5.795,2.14,left_nopunch
0.347,0.395,0.422,0.215,0.232,0.122,2.064,3.049,2.068,left_nopunch
0.641,0.543,0.562,0.177,0.361,0.105,5.599,8.704,9.397,left_nopunch
0.256,0.225,0.351,0.12,0.26,0.144,3.256,6.447,7.543,left_nopunch
0.588,0.469,1.002,0.457,0.599,0.27,3.281,7.082,5.571,left_nopunch
0.802,0.594,0.548,0.39,0.637,0.239,2.825,5.006,4.654,left_nopunch
0.7,0.484,0.775,0.64,0.545,0.266,2.129,5.24,2.64,left_nopunch
0.444,0.295,0.427,0.408,0.34,0.359,2.899,4.504,3.773,left_nopunch
0.538,0.325,0.548,0.135,0.378,0.094,6.289,10.889,9.255,left_nopunch
0.602,0.343,0.473,0.38,0.507,0.266,5.014,12.445,6.923,left_nopunch
0.402,0.75,0.557,0.238,0.317,0.258,2.889,7.114,5.54,left_nopunch
0.363,0.442,0.759,0.176,0.155,0.206,1.554,6.246,4.317,left_nopunch
0.219,0.158,0.237,0.033,0.09,0.153,3.342,7.007,3.91,left_nopunch
0.271,0.268,0.741,0.209,0.144,0.052,1.57,4.257,2.664,left_nopunch
0.307,0.394,0.583,0.213,0.13,0.167,2.583,7.342,2.785,left_nopunch
0.215,0.276,0.393,0.107,0.156,0.108,1.16,2.762,1.686,left_nopunch
0.15,0.217,0.458,0.114,0.132,0.161,3.448,7.795,3.115,left_nopunch
0.148,0.175,0.512,0.182,0.108,0.147,1.368,2.198,1.454,left_nopunch
0.246,0.34,0.44,0.234,0.115,0.153,3.831,7.87,3.979,left_nopunch
0.209,0.174,0.502,0.211,0.138,0.14,1.922,2.475,1.282,left_nopunch
0.165,0.294,0.372,0.221,0.179,0.164,2.732,7.058,3.003,left_nopunch
0.092,0.081,0.299,0.088,0.1,0.03,1.968,2.713,1.692,left_nopunch
0.121,0.092,0.35,0.119,0.108,0.046,2.197,6.27,1.761,left_nopunch
0.085,0.046,0.278,0.09,0.072,0.024,1.009,1.141,0.661,left_nopunch
0.082,0.064,0.358,0.087,0.077,0.039,4.119,7.569,2.844,left_nopunch
0.064,0.11,0.313,0.11,0.079,0.023,1.194,1.481,0.686,left_nopunch
0.241,0.39,0.728,0.201,0.119,0.088,4.048,7.473,2.982,left_nopunch
1.16,0.597,0.711,0.182,0.234,0.263,0.931,0.923,0.432,left_nopunch
0.468,0.216,0.31,0.115,0.304,0.072,3.382,7.87,3.04,left_nopunch
0.264,0.135,0.339,0.235,0.365,0.055,1.381,2.123,1.302,left_nopunch
0.542,0.54,0.374,0.135,0.383,0.24,2.89,6.493,2.413,left_nopunch
1.091,0.567,0.636,0.302,0.33,0.301,1.643,1.545,0.756,left_nopunch
1.122,0.395,0.791,0.163,0.207,0.223,2.943,6.838,3.038,left_nopunch
0.199,0.124,0.351,0.25,0.083,0.078,1.386,0.979,0.576,left_nopunch
0.183,0.128,0.409,0.154,0.133,0.065,3.686,7.131,3.041,left_nopunch
0.298,0.445,0.514,0.258,0.241,0.191,1.043,0.937,0.712,left_nopunch
0.492,0.212,0.319,0.193,0.308,0.169,3.3,7.657,3.365,left_nopunch
0.364,0.3,0.251,0.234,0.192,0.104,1.895,1.556,0.803,left_nopunch
0.228,0.172,0.178,0.089,0.141,0.091,2.712,6.975,2.968,left_nopunch
0.22,0.199,0.178,0.074,0.073,0.056,1.358,1.121,0.701,left_nopunch
0.265,0.344,0.143,0.104,0.1,0.055,2.657,7.466,2.966,left_nopunch
0.25,0.214,0.18,0.098,0.102,0.05,1.266,1.057,0.751,left_nopunch
0.309,0.208,0.249,0.106,0.16,0.071,4.147,6.615,3.665,left_nopunch
0.198,0.234,0.194,0.081,0.078,0.077,0.933,1.039,0.7,left_nopunch
0.247,0.137,0.204,0.083,0.13,0.057,2.949,8.019,2.904,left_nopunch
0.169,0.128,0.236,0.102,0.073,0.038,1.121,0.938,0.632,left_nopunch
0.169,0.137,0.195,0.057,0.065,0.049,3.121,7.849,2.503,left_nopunch
0.143,0.095,0.14,0.027,0.051,0.06,1.023,0.831,0.563,left_nopunch
0.223,0.161,0.204,0.057,0.102,0.067,3.887,7.431,3.809,left_nopunch
0.266,0.46,0.22,0.127,0.152,0.189,1.286,0.933,0.604,left_nopunch
0.215,0.404,0.324,0.127,0.142,0.129,3.638,7.291,2.858,left_nopunch
0.141,0.18,0.3,0.109,0.095,0.055,1.303,0.822,0.603,left_nopunch
0.161,0.204,0.31,0.179,0.105,0.121,3.398,7.208,3.058,left_nopunch
0.238,0.368,0.403,0.215,0.104,0.135,1.116,0.6,0.477,left_nopunch
0.175,0.337,0.387,0.216,0.075,0.141,3.322,7.679,3.72,left_nopunch
0.218,0.274,0.36,0.172,0.178,0.097,1.169,1.033,0.97,left_nopunch
0.229,0.503,0.304,0.249,0.087,0.166,3.515,7.389,3.094,left_nopunch
0.274,0.486,0.358,0.278,0.068,0.232,0.934,1.129,0.661,left_nopunch
0.199,0.332,0.376,0.174,0.061,0.205,4.041,6.993,2.717,left_nopunch
0.158,0.362,0.538,0.154,0.079,0.296,1.185,0.937,0.751,left_nopunch
0.186,0.34,0.55,0.117,0.165,0.261,2.866,6.862,3.196,left_nopunch
0.197,0.418,0.543,0.158,0.295,0.234,1.173,0.893,0.518,left_nopunch
0.245,0.405,0.501,0.161,0.277,0.28,3.071,6.451,2.805,left_nopunch
0.226,0.502,0.509,0.218,0.31,0.388,0.947,0.553,0.323,left_nopunch
0.28,0.59,0.725,0.088,0.46,0.305,3.624,7.592,3.261,left_nopunch
0.24,0.327,0.664,0.194,0.421,0.338,0.653,0.716,0.515,left_nopunch
0.291,0.419,0.471,0.175,0.1,0.386,3.362,8.341,3.79,left_nopunch
0.361,0.502,0.54,0.244,0.119,0.181,0.902,0.533,0.386,left_nopunch
0.211,0.279,0.491,0.099,0.101,0.095,3.482,7.513,4.002,left_nopunch
0.168,0.211,0.504,0.098,0.044,0.102,1.118,0.73,0.497,left_nopunch
0.153,0.367,0.465,0.175,0.067,0.113,3.098,7.789,3.195,left_nopunch
0.343,0.522,0.625,0.326,0.269,0.309,0.869,0.651,0.426,left_nopunch
0.281,0.283,0.68,0.154,0.195,0.158,3.55,7.094,3.415,left_nopunch
0.371,0.357,0.792,0.209,0.234,0.156,0.912,0.496,0.297,left_nopunch
0.387,0.456,0.766,0.148,0.267,0.121,3.613,7.069,3.0,left_nopunch
0.372,0.562,0.593,0.221,0.184,0.171,0.601,0.329,0.349,left_nopunch
0.535,0.44,0.647,0.154,0.194,0.182,4.119,7.876,3.432,left_nopunch
0.455,0.694,0.546,0.271,0.203,0.295,0.758,0.668,0.566,left_nopunch
0.375,0.456,0.574,0.314,0.153,0.325,4.063,8.871,3.939,left_nopunch
0.343,0.458,0.562,0.189,0.184,0.356,0.9,0.577,0.275,left_nopunch
0.325,0.782,0.461,0.315,0.217,0.445,3.647,8.295,3.585,left_nopunch
0.24,0.785,0.487,0.283,0.125,0.506,0.801,0.516,0.299,left_nopunch
0.47,0.513,0.524,0.186,0.286,0.369,3.354,7.586,2.911,left_nopunch
0.272,0.496,0.587,0.154,0.116,0.233,0.778,0.609,0.572,left_nopunch
0.233,0.263,0.687,0.105,0.061,0.081,3.555,8.144,2.935,left_nopunch
0.291,0.368,0.703,0.19,0.125,0.223,0.855,0.627,0.449,left_nopunch
0.213,0.611,0.702,0.253,0.207,0.325,3.626,7.371,2.638,left_nopunch
0.27,0.538,0.674,0.144,0.212,0.146,0.824,0.488,0.467,left_nopunch
0.425,0.794,0.333,0.137,0.159,0.185,4.289,7.829,3.768,left_nopunch
0.11,0.107,0.198,0.079,0.056,0.076,1.039,1.029,0.604,left_nopunch
0.129,0.1,0.09,0.053,0.074,0.075,3.907,8.118,2.428,left_nopunch
0.077,0.052,0.078,0.036,0.022,0.023,0.782,0.78,0.374,left_nopunch
0.068,0.049,0.067,0.024,0.026,0.033,3.201,7.094,2.735,left_nopunch
0.116,0.089,0.196,0.08,0.144,0.1,0.807,0.785,0.655,left_nopunch
0.221,0.165,0.166,0.069,0.097,0.097,2.659,6.423,2.595,left_nopunch
0.213,0.118,0.1,0.061,0.038,0.062,1.003,0.974,0.682,left_nopunch
0.332,0.258,0.336,0.146,0.121,0.157,3.443,7.414,2.965,left_nopunch
0.399,0.606,0.63,0.31,0.166,0.268,0.893,0.945,0.525,left_nopunch
0.192,0.389,0.573,0.206,0.098,0.131,3.855,6.992,2.674,left_nopunch
0.099,0.268,0.465,0.2,0.054,0.073,0.888,1.169,0.448,left_nopunch
0.171,0.274,0.451,0.176,0.086,0.085,3.734,7.791,2.968,left_nopunch
0.17,0.217,0.368,0.165,0.089,0.102,0.79,0.988,0.51,left_nopunch
0.163,0.135,0.33,0.103,0.082,0.076,3.248,7.324,2.656,left_nopunch
0.124,0.057,0.119,0.032,0.074,0.023,0.789,0.993,0.65,left_nopunch
0.065,0.032,0.041,0.016,0.02,0.014,4.068,7.284,3.266,left_nopunch
0.06,0.026,0.038,0.02,0.033,0.018,0.712,0.647,0.381,left_nopunch
0.06,0.022,0.033,0.006,0.014,0.012,4.083,7.685,2.901,left_nopunch
0.068,0.027,0.033,0.009,0.019,0.007,0.796,0.592,0.615,left_nopunch
0.069,0.059,0.066,0.018,0.035,0.008,3.578,7.351,2.841,left_nopunch
0.19,0.131,0.082,0.162,0.162,0.051,0.8,0.613,0.4,left_nopunch
0.48,0.353,0.153,0.361,0.356,0.088,3.867,7.512,2.965,left_nopunch
0.514,0.402,0.417,0.489,0.739,0.108,0.619,0.616,0.401,left_nopunch
0.684,0.616,0.469,0.338,0.431,0.083,3.201,7.118,3.306,left_nopunch
0.6,0.456,0.457,0.33,0.52,0.037,0.938,0.619,0.387,left_nopunch
0.671,0.444,0.45,0.289,0.535,0.058,3.459,6.389,2.536,left_nopunch
0.549,0.573,0.347,0.28,0.266,0.102,1.028,1.113,0.395,left_nopunch
0.505,0.383,0.568,0.233,0.396,0.108,3.767,6.885,2.857,left_nopunch
0.45,0.47,0.528,0.239,0.413,0.099,1.378,1.752,0.758,left_nopunch
0.305,0.514,0.71,0.262,0.324,0.177,2.843,6.028,2.288,left_nopunch
0.291,0.24,0.722,0.18,0.132,0.121,1.408,1.416,1.033,left_nopunch
0.256,0.588,0.852,0.195,0.115,0.096,2.103,6.292,3.1,left_nopunch
0.342,0.772,0.784,0.198,0.158,0.149,0.956,1.416,1.064,left_nopunch
0.448,0.866,0.526,0.224,0.432,0.514,3.052,6.832,2.985,left_nopunch
0.329,0.791,0.569,0.243,0.286,0.667,1.425,1.646,1.031,left_nopunch
0.209,0.617,0.603,0.314,0.272,0.518,3.438,6.64,2.773,left_nopunch
0.275,0.306,0.572,0.193,0.149,0.329,1.602,1.554,1.028,left_nopunch
0.198,0.244,0.445,0.148,0.112,0.334,3.036,6.304,2.571,left_nopunch
0.236,0.269,0.529,0.183,0.154,0.35,1.273,1.214,0.531,left_nopunch
0.454,0.226,0.382,0.245,0.311,0.211,2.86,6.034,2.014,left_nopunch
0.349,0.484,0.665,0.282,0.496,0.207,1.093,1.382,0.619,left_nopunch
0.275,0.256,0.364,0.307,0.209,0.305,3.644,6.868,2.588,left_nopunch
0.41,0.55,0.456,0.321,0.157,0.22,1.408,1.613,0.839,left_nopunch
0.433,0.543,0.512,0.327,0.191,0.255,2.757,6.454,2.594,left_nopunch
0.209,0.354,0.323,0.314,0.088,0.284,0.886,1.396,0.778,left_nopunch
0.337,0.615,0.383,0.293,0.207,0.341,3.174,6.5,3.763,left_nopunch
0.321,0.541,0.437,0.39,0.156,0.217,1.079,1.236,0.965,left_nopunch
0.248,0.474,0.475,0.251,0.185,0.273,3.095,5.803,3.004,left_nopunch
0.29,0.514,0.446,0.15,0.199,0.216,1.04,1.088,0.8,left_nopunch
0.236,0.462,0.539,0.162,0.266,0.208,2.833,5.988,2.914,left_nopunch
0.426,0.4,0.462,0.115,0.229,0.311,0.869,0.828,0.547,left_nopunch
0.181,0.317,0.391,0.151,0.07,0.105,2.719,6.262,3.313,left_nopunch
0.294,0.907,0.747,0.224,0.191,0.242,1.105,1.477,1.088,left_nopunch
0.335,0.746,0.75,0.259,0.222,0.188,2.924,6.76,3.02,left_nopunch
0.236,0.362,0.532,0.183,0.242,0.059,1.099,1.494,0.938,left_nopunch
0.402,0.779,0.575,0.177,0.169,0.248,2.7,6.253,2.398,left_nopunch
0.386,0.561,0.46,0.217,0.241,0.206,0.81,1.566,1.233,left_nopunch
0.26,0.446,0.69,0.28,0.19,0.179,2.762,6.858,2.283,left_nopunch
0.209,0.247,0.566,0.211,0.182,0.208,1.484,1.4,0.768,left_nopunch
0.228,0.16,0.396,0.123,0.135,0.062,2.937,5.709,2.746,left_nopunch
0.316,0.414,0.526,0.186,0.217,0.12,1.486,2.885,1.543,left_nopunch
0.293,0.194,0.279,0.143,0.319,0.05,2.239,7.085,2.626,left_nopunch
0.379,0.434,0.447,0.259,0.269,0.179,1.472,1.655,0.757,left_nopunch
0.345,0.25,0.485,0.212,0.276,0.158,2.676,6.783,2.717,left_nopunch
0.366,0.583,0.715,0.39,0.264,0.298,1.338,1.633,0.634,left_nopunch
0.35,0.249,0.72,0.219,0.316,0.194,2.46,5.604,2.306,left_nopunch
0.363,0.294,0.704,0.099,0.373,0.164,1.41,3.052,1.45,left_nopunch
0.2,0.262,0.492,0.155,0.144,0.165,2.442,5.64,2.649,left_nopunch
0.547,0.335,0.33,0.233,0.436,0.166,1.663,3.465,1.851,left_nopunch
0.812,0.565,0.449,0.375,0.612,0.103,3.373,7.271,3.022,left_nopunch
0.666,0.466,0.354,0.435,0.726,0.069,1.832,1.87,0.948,left_nopunch
0.828,0.409,0.361,0.355,0.847,0.061,3.066,6.287,2.702,left_nopunch
0.722,0.563,0.564,0.488,0.59,0.082,1.436,3.083,1.448,left_nopunch
0.33,0.375,0.298,0.396,0.252,0.489,3.241,6.17,2.884,left_nopunch
0.296,0.435,0.536,0.401,0.184,0.203,1.679,3.121,1.498,left_nopunch
0.338,0.468,0.531,0.263,0.239,0.318,2.789,6.105,2.336,left_nopunch
0.332,0.298,0.378,0.173,0.178,0.126,1.672,3.795,1.801,left_nopunch
0.297,0.267,0.264,0.091,0.115,0.126,3.061,6.676,3.265,left_nopunch
0.201,0.161,0.168,0.101,0.104,0.105,2.012,3.497,1.773,left_nopunch
0.268,0.381,0.186,0.186,0.126,0.152,2.416,5.432,2.144,left_nopunch
0.284,0.182,0.263,0.231,0.231,0.183,1.717,4.419,1.859,left_nopunch
0.402,0.471,0.255,0.174,0.107,0.081,1.639,2.968,2.37,left_nopunch
0.807,0.645,0.426,0.286,0.31,0.216,4.612,6.869,5.327,left_nopunch
0.417,0.458,0.429,0.203,0.214,0.35,2.836,2.454,4.589,left_nopunch
0.215,0.334,0.728,0.148,0.148,0.109,2.957,6.483,3.748,left_nopunch
0.343,0.461,0.721,0.245,0.276,0.139,2.348,3.173,3.519,left_nopunch
0.219,0.524,0.666,0.121,0.108,0.309,2.857,6.12,2.393,left_nopunch
0.37,0.446,0.683,0.175,0.215,0.255,2.734,4.746,3.034,left_nopunch
0.283,0.181,0.308,0.136,0.127,0.063,3.029,5.285,2.315,left_nopunch
0.342,0.123,0.384,0.092,0.185,0.073,2.374,3.302,2.056,left_nopunch
0.316,0.191,0.534,0.115,0.131,0.096,2.639,6.924,2.187,left_nopunch
0.145,0.139,0.271,0.058,0.09,0.056,1.439,2.723,1.888,left_nopunch
0.317,0.278,0.211,0.093,0.182,0.095,2.344,6.991,2.445,left_nopunch
0.306,0.16,0.279,0.095,0.223,0.129,1.929,2.959,1.543,left_nopunch
0.243,0.13,0.18,0.048,0.182,0.136,2.649,7.283,2.847,left_nopunch
0.151,0.149,0.129,0.057,0.107,0.072,1.022,1.526,0.978,left_nopunch
0.251,0.172,0.231,0.097,0.251,0.123,3.206,8.37,2.793,left_nopunch
0.284,0.22,0.361,0.121,0.177,0.07,2.256,4.342,2.39,left_nopunch
0.306,0.189,0.287,0.119,0.193,0.129,2.361,4.803,2.08,left_nopunch
0.257,0.265,0.542,0.095,0.11,0.109,2.549,5.863,2.671,left_nopunch
0.446,0.409,0.591,0.273,0.269,0.217,1.471,2.935,1.443,left_nopunch
0.492,0.374,0.436,0.159,0.267,0.195,2.139,3.997,2.042,left_nopunch
0.298,0.354,0.384,0.159,0.121,0.12,2.333,5.593,2.32,left_nopunch
0.282,0.311,0.577,0.312,0.165,0.175,1.306,2.29,1.183,left_nopunch
0.187,0.273,0.593,0.14,0.196,0.152,2.733,6.377,2.644,left_nopunch
0.145,0.205,0.352,0.134,0.063,0.138,1.677,2.574,1.652,left_nopunch
0.225,0.106,0.543,0.105,0.047,0.058,2.879,6.019,1.786,left_nopunch
0.142,0.18,0.496,0.177,0.048,0.063,1.748,2.245,2.06,left_nopunch
0.119,0.197,0.417,0.13,0.098,0.052,2.969,5.757,2.535,left_nopunch
0.167,0.19,0.449,0.139,0.119,0.069,1.456,1.754,1.257,left_nopunch
0.168,0.124,0.455,0.173,0.099,0.023,2.017,5.648,2.743,left_nopunch
0.193,0.157,0.321,0.219,0.092,0.053,1.497,2.44,1.824,left_nopunch
0.244,0.153,0.299,0.198,0.177,0.134,2.431,6.248,1.989,left_nopunch
0.379,0.183,0.231,0.104,0.278,0.169,1.101,2.281,1.354,left_nopunch
0.236,0.191,0.33,0.221,0.152,0.098,6.4,8.244,8.202,left_nopunch
0.247,0.197,0.47,0.087,0.276,0.201,1.98,4.427,7.658,left_nopunch
0.328,0.658,0.789,0.277,0.337,0.177,4.171,7.017,5.045,left_nopunch
0.248,0.113,0.131,0.265,0.16,0.314,1.32,3.346,5.295,left_nopunch
0.205,0.359,0.504,0.508,0.365,0.445,3.818,7.567,3.646,left_nopunch
0.342,0.441,0.166,0.373,0.227,0.583,0.853,1.652,3.003,left_nopunch
0.617,0.44,0.336,0.494,0.32,0.24,3.271,8.575,3.449,left_nopunch
0.414,0.403,0.348,0.494,0.282,0.598,1.66,3.18,2.436,left_nopunch
0.536,0.364,0.359,0.438,0.259,0.448,3.206,7.065,2.578,left_nopunch
0.464,0.3,0.372,0.455,0.277,0.418,1.923,3.032,2.153,left_nopunch
0.799,0.788,0.49,0.407,0.289,0.242,3.235,7.443,2.634,left_nopunch
0.393,0.997,0.777,0.203,0.135,0.153,1.752,2.692,1.865,left_nopunch
0.585,0.408,0.68,0.159,0.274,0.089,2.849,6.645,2.03,left_nopunch
0.769,0.734,0.575,0.168,0.178,0.16,1.573,2.098,1.164,left_nopunch
