X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Punch Type
3.255,2.343,3.667,1.572,1.074,0.428,0.424,0.749,0.617,cross
0.65,0.601,0.451,4.928,12.075,11.976,3.712,2.561,2.688,cross
4.424,2.535,3.134,1.757,0.98,0.752,0.476,1.043,0.599,cross
0.694,0.729,0.861,5.558,11.95,12.065,3.709,2.265,2.486,cross
3.02,2.651,3.148,1.789,0.878,0.702,0.512,1.239,0.381,cross
0.449,1.243,0.451,4.044,11.468,13.414,4.359,2.593,2.598,cross
4.289,2.1,3.177,1.628,0.859,0.619,0.513,1.052,0.38,cross
0.626,1.281,0.541,3.76,13.433,13.619,4.5,2.409,2.251,cross
3.769,2.257,3.876,1.973,1.176,0.543,0.544,1.165,0.601,cross
0.707,1.297,0.935,4.243,12.551,11.819,3.836,3.039,2.462,cross
4.338,2.649,3.726,1.946,0.73,0.61,0.57,1.217,0.607,cross
0.663,1.391,1.174,4.319,11.311,12.39,3.979,3.01,2.128,cross
4.482,2.988,3.533,2.049,0.991,0.634,0.649,1.169,0.506,cross
0.66,1.119,0.723,5.508,10.407,10.627,3.268,3.052,2.443,cross
3.719,2.812,2.703,2.035,0.725,0.6,0.433,1.1,0.37,cross
0.372,0.782,0.208,7.273,11.858,12.959,4.271,3.308,2.935,cross
5.478,3.505,3.218,2.196,1.207,0.786,0.617,1.251,0.622,cross
0.62,1.451,0.511,3.686,11.681,13.075,4.43,2.405,2.595,cross
3.588,3.225,2.881,1.656,0.853,0.514,0.454,1.005,0.473,cross
0.27,0.467,0.247,3.457,12.101,12.677,4.26,2.463,2.209,cross
4.109,2.879,2.835,1.838,0.8,0.708,0.501,1.003,0.726,cross
0.919,1.513,0.35,4.534,9.949,8.671,2.767,3.176,1.733,cross
5.114,2.62,2.911,1.899,0.789,0.531,0.456,1.149,0.521,cross
0.97,0.92,0.513,4.705,9.814,9.512,3.169,2.72,1.632,cross
4.301,2.477,3.109,2.099,0.842,0.734,0.481,1.183,0.639,cross
0.418,1.298,0.389,6.52,11.49,11.049,3.463,2.871,2.144,cross
4.086,2.261,2.841,1.867,0.93,0.641,0.49,1.274,0.47,cross
0.431,0.731,0.307,4.811,10.643,11.536,3.401,2.865,2.298,cross
3.888,2.103,3.013,1.987,1.045,0.758,0.641,1.114,0.657,cross
0.839,1.192,1.243,5.052,12.073,11.645,4.055,3.119,2.238,cross
3.807,1.54,2.352,2.076,1.102,0.614,0.528,1.262,0.696,cross
0.919,1.088,0.741,5.441,12.878,10.239,2.876,2.916,2.989,cross
3.57,1.952,2.541,1.777,1.269,0.688,0.671,0.931,0.319,cross
1.113,1.46,0.724,4.4,12.456,12.405,4.214,2.153,1.418,cross
4.104,3.11,2.864,1.723,1.292,0.95,0.872,1.415,0.701,cross
1.323,1.126,0.586,5.591,10.716,9.338,3.281,2.939,1.595,cross
4.225,1.723,2.644,1.746,0.837,0.705,0.525,1.071,0.399,cross
0.648,0.988,0.406,5.403,14.634,10.622,3.541,3.124,1.854,cross
4.079,1.607,2.145,1.774,0.933,1.218,0.554,1.04,0.465,cross
0.502,1.051,0.791,5.749,14.291,13.32,4.664,2.803,1.961,cross
3.433,1.441,1.935,2.159,1.378,0.917,0.743,1.816,0.621,cross
1.909,1.682,0.978,5.593,13.526,14.075,4.836,3.082,1.669,cross
3.567,1.889,2.343,1.947,1.455,1.002,0.857,1.735,0.664,cross
2.143,2.079,1.568,4.052,12.067,12.274,3.965,2.772,2.216,cross
3.363,2.332,2.181,0.909,1.224,0.65,0.735,1.083,0.531,cross
1.708,2.095,1.444,4.167,12.608,11.835,3.608,2.824,2.069,cross
3.832,2.94,2.234,1.287,0.892,1.084,0.417,1.179,0.638,cross
1.498,2.144,1.253,5.942,12.598,12.894,3.935,3.263,2.057,cross
3.493,1.657,2.608,1.385,1.338,0.827,0.466,1.174,0.884,cross
1.281,1.564,0.963,4.422,11.585,11.151,3.874,2.794,1.796,cross
3.634,2.002,2.174,1.155,0.991,0.906,0.451,0.917,0.689,cross
1.986,1.64,1.458,5.817,12.008,12.202,3.61,3.477,2.067,cross
3.58,2.059,2.129,1.335,1.382,0.845,0.531,0.68,0.585,cross
1.836,1.757,1.937,4.653,11.83,11.592,3.683,2.831,1.641,cross
3.223,2.097,1.863,1.364,0.697,0.435,0.327,0.805,0.447,cross
1.736,1.411,1.408,5.127,11.933,12.546,4.011,3.091,2.313,cross
3.149,1.6,2.148,1.581,1.328,0.919,0.76,1.026,0.655,cross
1.652,2.184,1.539,5.081,12.562,11.045,4.267,3.343,2.42,cross
3.619,1.97,1.895,1.35,1.03,0.944,0.574,0.875,0.521,cross
1.625,2.414,1.785,2.556,13.347,12.374,4.201,2.22,1.834,cross
3.57,2.023,2.162,1.277,1.04,1.012,0.487,0.794,0.589,cross
1.52,2.046,1.189,5.457,11.88,12.835,4.159,1.788,2.076,cross
3.926,2.187,2.041,1.471,1.475,0.814,0.676,0.966,0.889,cross
1.414,1.328,1.066,6.695,12.482,9.752,3.347,2.9,3.108,cross
3.085,2.519,2.26,1.653,1.075,0.644,0.592,1.097,0.416,cross
1.669,1.598,1.173,5.725,12.495,10.808,3.778,1.889,2.523,cross
2.839,2.21,2.191,1.435,1.117,0.851,0.599,1.156,0.578,cross
1.424,1.339,1.189,4.196,13.092,12.173,4.702,2.673,1.571,cross
3.299,1.799,1.84,1.491,1.143,1.111,0.746,1.164,0.473,cross
1.695,1.663,1.53,5.021,9.263,10.326,3.591,2.886,2.466,cross
3.512,1.816,1.917,1.655,2.509,1.117,0.749,1.104,0.469,cross
1.782,1.699,1.6,4.286,12.999,12.276,3.761,2.05,2.218,cross
3.34,2.346,1.719,2.101,2.91,0.766,0.766,1.233,0.342,cross
2.237,2.064,1.563,5.08,10.648,11.572,3.627,2.976,2.511,cross
3.299,2.322,1.683,2.059,2.277,1.024,0.729,1.335,0.589,cross
2.39,1.724,1.826,6.95,10.364,9.166,2.548,3.018,2.909,cross
3.697,1.827,1.727,2.136,1.701,0.717,0.528,1.462,0.453,cross
2.072,1.602,1.442,4.617,11.487,11.847,3.551,2.192,2.626,cross
3.619,1.907,1.83,1.645,2.26,1.247,0.682,1.233,0.575,cross
1.515,1.201,0.911,4.792,10.332,10.012,3.366,2.95,2.683,cross
3.307,2.341,1.742,1.855,3.129,1.215,1.045,1.46,0.501,cross
2.2,1.766,1.752,4.592,6.253,9.364,2.675,2.138,2.589,cross
2.425,1.416,1.491,2.203,5.371,1.361,1.31,1.488,0.678,cross
3.854,1.912,1.362,5.488,5.914,9.535,2.617,2.214,2.616,cross
3.546,1.757,1.671,1.984,6.275,2.183,1.434,1.325,1.202,cross
2.24,1.553,1.548,4.069,3.546,5.294,1.677,1.345,1.816,cross
4.075,1.879,2.267,3.886,9.883,5.691,2.235,1.314,1.383,cross
2.024,1.812,1.139,6.781,4.148,7.021,1.906,2.553,2.512,cross
3.56,2.128,1.962,2.459,6.105,2.159,1.339,1.448,1.335,cross
2.036,1.526,1.308,5.475,6.668,8.894,2.69,2.245,2.83,cross
3.599,2.271,1.987,1.754,4.957,1.349,1.186,1.54,0.68,cross
2.007,2.129,1.588,3.358,6.311,9.628,3.146,2.393,2.112,cross
3.437,2.285,1.934,1.925,5.748,1.855,1.603,1.686,0.878,cross
2.612,1.572,1.264,3.284,5.659,7.157,2.363,2.629,1.805,cross
3.622,1.7,1.68,1.861,7.974,2.816,2.275,1.641,0.847,cross
1.627,1.811,1.207,4.177,5.955,9.499,3.064,2.776,2.495,cross
2.126,1.814,1.526,2.013,4.549,1.443,1.223,1.472,0.645,cross
3.759,1.712,1.268,4.543,4.312,9.25,2.719,2.61,2.202,cross
1.666,1.282,1.325,2.339,8.002,2.393,1.983,1.741,0.544,cross
4.039,2.514,1.811,4.358,3.559,8.09,2.25,2.904,1.811,cross
3.015,1.919,2.13,2.362,8.136,4.518,1.893,1.718,1.379,cross
2.324,1.829,1.428,4.029,3.751,8.48,2.202,2.106,2.054,cross
2.55,1.38,1.594,2.316,7.295,2.59,1.525,1.63,1.205,cross
2.755,1.451,1.265,4.172,3.331,6.567,2.079,2.624,1.606,cross
3.151,2.064,2.047,2.658,9.65,6.628,2.891,1.584,0.705,cross
2.807,1.333,1.171,2.802,3.502,4.647,1.991,2.091,1.168,cross
1.844,1.44,1.519,1.963,10.18,8.626,2.942,1.611,0.873,cross
3.922,1.797,1.826,4.658,2.083,2.206,1.517,2.455,1.324,cross
1.77,1.289,1.528,4.615,9.543,11.467,1.798,2.8,1.811,cross
4.47,2.323,0.989,3.061,1.622,4.445,1.238,1.271,0.807,cross
1.304,0.973,1.116,4.837,11.82,10.774,2.194,2.77,1.435,cross
3.959,2.049,1.672,3.489,1.945,2.697,1.221,1.341,1.12,cross
1.181,0.973,1.172,5.55,10.815,9.847,2.534,3.002,1.416,cross
4.602,2.322,1.908,3.129,1.522,1.417,1.241,1.827,1.072,cross
1.647,1.72,1.58,3.254,10.427,10.529,3.005,1.896,1.775,cross
3.188,1.822,1.296,4.713,2.209,2.382,1.503,2.778,1.531,cross
2.168,1.499,1.214,3.223,7.974,8.692,2.187,2.373,1.607,cross
3.732,1.721,1.528,4.988,2.86,4.875,1.646,2.308,2.191,cross
1.647,1.24,1.278,3.009,8.069,5.277,2.041,1.565,1.26,cross
3.97,1.938,1.342,5.901,8.116,8.078,2.326,3.119,1.431,cross
1.744,1.238,1.222,1.757,3.145,1.17,0.715,1.256,0.592,cross
3.899,1.806,1.38,3.862,3.09,1.201,1.291,2.196,0.722,cross
0.628,0.805,0.749,5.816,7.823,11.396,1.886,2.874,1.551,cross
4.828,2.1,2.455,3.736,2.991,5.459,1.484,2.096,0.951,cross
1.148,0.835,1.117,4.865,10.388,12.621,2.806,2.216,1.925,cross
4.736,2.745,2.897,3.237,1.093,2.857,0.897,2.064,0.741,cross
0.994,0.779,1.002,7.752,10.787,13.411,3.601,2.634,2.521,cross
4.811,2.81,2.075,2.531,2.936,5.617,1.188,1.524,0.924,cross
0.503,1.822,1.803,4.477,9.131,10.77,2.843,2.193,2.428,cross
4.312,3.082,2.149,2.595,2.163,3.752,1.352,1.608,0.854,cross
1.123,0.977,1.385,3.239,9.647,10.85,3.064,2.166,1.275,cross
3.962,3.004,2.15,4.036,1.809,1.744,1.141,1.938,1.173,cross
1.295,1.127,1.512,3.968,9.915,10.944,3.14,2.089,1.659,cross
3.903,2.355,2.01,2.946,1.388,1.397,0.91,1.508,0.574,cross
1.02,1.168,1.537,6.616,11.258,11.814,4.0,3.455,2.122,cross
4.498,2.266,1.806,4.342,2.796,4.801,1.625,2.147,1.322,cross
0.823,0.476,0.699,4.219,10.799,12.383,2.869,1.739,1.757,cross
4.794,2.34,2.298,2.673,3.099,4.406,1.792,1.57,1.095,cross
0.993,0.979,1.504,3.581,10.379,11.712,3.061,1.634,1.775,cross
3.962,2.342,1.787,2.875,1.701,2.23,1.329,1.793,1.059,cross
0.257,0.44,0.395,3.207,8.928,11.245,2.914,1.425,1.844,cross
4.509,2.552,2.736,3.694,1.488,1.233,1.109,1.921,1.042,cross
0.399,0.493,0.479,3.347,8.962,9.522,2.765,2.119,1.631,cross
4.673,3.971,2.968,3.34,1.093,0.889,1.041,1.797,0.96,cross
0.551,0.829,0.767,3.303,9.486,10.505,3.327,2.407,2.046,cross
4.806,2.793,2.679,3.402,1.318,0.598,0.928,1.732,0.879,cross
1.151,1.089,1.235,2.581,11.673,9.502,3.123,2.131,1.679,cross
4.519,2.322,2.2,3.025,1.282,0.509,0.885,1.718,0.874,cross
2.061,2.002,1.688,3.684,9.236,10.211,3.463,2.048,1.737,cross
3.479,1.627,1.377,2.753,1.5,0.634,1.199,1.591,0.905,cross
0.515,0.768,0.402,4.178,9.364,9.26,2.562,1.127,1.828,cross
4.061,2.563,2.655,2.922,1.136,0.59,1.164,1.932,0.936,cross
