X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
4.817,15.932,11.424,4.364,2.864,2.531,5.787,11.555,10.553,jab
1.65,0.804,0.869,0.246,1.006,0.625,1.218,0.419,0.509,jab
3.483,14.54,12.229,3.82,2.327,2.827,6.333,13.737,13.463,jab
2.045,1.222,1.313,0.309,1.248,0.802,1.421,0.418,0.639,jab
4.124,14.76,12.28,4.034,2.698,2.377,8.775,12.876,12.312,jab
1.335,0.804,0.582,0.316,0.777,0.437,1.43,1.024,0.447,jab
3.246,13.634,11.467,3.955,2.063,2.625,6.455,13.288,13.76,jab
1.311,0.776,0.832,0.196,0.755,0.341,1.297,0.746,0.488,jab
5.158,14.306,11.391,3.653,2.805,2.897,7.704,14.455,13.143,jab
1.825,1.165,0.915,0.298,0.973,0.777,1.463,1.412,0.868,jab
5.974,13.04,10.525,3.681,2.722,3.159,7.788,13.225,12.963,jab
1.971,1.197,0.798,0.485,0.963,0.74,1.223,0.989,0.616,jab
6.5,15.058,11.493,3.711,2.604,3.141,6.496,13.365,12.473,jab
1.307,0.906,0.856,0.342,0.764,0.516,1.49,0.667,0.574,jab
6.891,12.286,12.747,3.59,2.835,3.447,5.081,14.21,12.651,jab
1.799,0.871,0.985,0.164,1.092,0.552,1.788,0.926,0.981,jab
3.546,14.599,12.233,3.874,2.199,2.802,6.749,11.693,11.41,jab
1.672,0.964,0.615,0.37,0.901,0.439,2.1,1.053,1.204,jab
5.039,14.034,9.166,3.39,2.655,2.884,6.096,15.45,14.368,jab
1.839,1.263,0.706,0.421,0.979,0.736,3.067,1.916,1.263,jab
5.573,14.017,13.024,3.702,2.754,3.078,8.485,14.43,14.289,jab
1.586,0.825,0.868,0.294,1.097,0.522,2.157,0.823,1.148,jab
5.339,13.805,12.264,3.37,2.629,3.205,8.451,15.658,12.83,jab
1.72,1.0,1.044,0.381,1.13,0.622,2.126,0.851,1.225,jab
5.612,14.142,13.488,3.78,2.797,3.034,10.514,13.204,12.746,jab
1.897,1.0,1.061,0.328,1.102,0.444,2.548,2.205,1.131,jab
5.737,13.553,13.143,3.812,2.616,3.378,8.955,14.534,15.063,jab
2.296,1.229,1.294,0.463,1.526,0.658,3.95,1.904,2.329,jab
4.804,14.692,11.541,3.556,2.185,2.912,8.863,15.337,14.743,jab
0.954,0.631,0.558,0.17,0.483,0.247,2.41,1.581,1.41,jab
6.205,14.601,12.091,3.634,2.102,3.606,6.2,14.567,12.308,jab
1.315,1.115,0.679,0.308,0.751,0.324,1.197,0.941,0.82,jab
6.52,15.171,13.283,3.733,1.361,3.779,10.198,15.502,19.828,jab
1.237,1.704,1.41,0.615,1.336,0.321,2.533,0.841,1.635,jab
6.23,13.926,11.892,3.316,1.392,3.551,6.483,15.033,12.324,jab
1.318,1.332,1.285,0.818,1.174,0.185,1.569,0.743,0.553,jab
5.221,14.861,11.866,3.565,2.13,3.183,7.299,14.358,14.105,jab
1.087,1.112,1.195,0.434,1.155,0.358,1.833,0.919,0.967,jab
9.105,16.597,15.259,4.105,1.535,4.161,5.725,14.762,14.601,jab
1.988,1.778,1.809,1.202,1.424,0.666,1.244,0.748,0.601,jab
4.283,14.385,11.08,3.828,1.336,3.335,7.962,15.003,13.402,jab
1.617,1.189,0.702,0.688,1.243,0.336,1.691,0.583,0.727,jab
4.799,14.608,11.484,4.459,1.616,3.519,6.782,15.062,12.203,jab
1.242,1.014,0.624,0.45,0.92,0.384,1.342,0.543,0.468,jab
4.703,13.93,11.303,4.108,1.242,3.431,7.733,15.796,12.929,jab
0.82,0.559,0.497,0.281,0.536,0.205,4.58,2.686,2.888,jab
4.149,14.968,11.072,4.569,2.038,3.022,6.849,15.803,12.644,jab
1.145,0.752,0.359,0.346,0.559,0.134,1.822,0.809,0.766,jab
5.415,13.664,10.18,3.913,1.088,3.743,5.027,15.559,13.23,jab
1.639,1.137,0.719,0.877,0.739,0.257,2.542,1.333,1.881,jab
6.301,13.105,10.626,3.752,1.583,4.03,5.951,16.48,16.344,jab
1.386,1.07,1.047,0.64,1.104,0.443,1.56,0.974,0.781,jab
5.41,13.62,10.907,4.262,1.43,3.919,5.443,15.35,12.935,jab
1.376,1.076,0.643,0.616,1.128,0.26,1.078,0.785,0.569,jab
4.888,12.978,10.295,3.681,1.177,3.738,6.412,14.618,12.446,jab
1.685,1.293,0.98,0.829,1.325,0.278,3.18,0.798,1.847,jab
5.286,12.09,8.335,3.446,1.152,4.204,4.016,14.639,12.659,jab
1.393,1.19,1.098,0.727,1.057,0.468,2.613,1.452,2.341,jab
4.889,12.677,10.039,4.086,0.882,3.649,5.587,16.551,14.66,jab
1.658,1.032,0.821,0.605,1.382,0.34,3.504,1.758,2.729,jab
5.754,13.409,10.774,3.121,1.572,3.53,8.789,14.918,13.19,jab
1.547,1.119,0.678,0.8,1.319,0.377,3.376,1.313,2.364,jab
5.281,13.232,9.806,2.919,1.151,3.52,8.196,15.177,14.283,jab
1.935,1.314,0.828,0.756,1.426,0.527,2.968,1.158,1.811,jab
4.385,12.291,9.83,3.319,1.111,3.29,6.882,15.393,12.355,jab
1.793,1.437,0.83,0.877,1.38,0.573,2.859,1.501,1.693,jab
4.963,10.465,10.619,3.24,1.113,3.449,5.765,13.326,14.522,jab
1.937,1.461,1.22,0.817,1.404,0.509,3.02,1.269,1.695,jab
5.064,12.032,8.648,2.987,1.139,3.325,7.051,14.467,13.363,jab
1.567,2.227,1.051,0.701,1.17,0.696,3.914,1.453,1.983,jab
6.183,11.997,9.751,3.863,2.193,3.431,5.321,13.993,12.1,jab
1.994,1.857,1.225,1.127,1.311,0.45,3.146,1.529,1.629,jab
4.585,12.579,8.898,3.558,1.317,3.113,6.592,12.63,12.559,jab
1.739,2.59,1.831,1.114,1.417,0.576,3.382,1.83,1.514,jab
5.266,14.933,10.047,3.627,1.625,3.18,6.569,12.436,11.608,jab
1.672,1.359,0.998,0.866,1.396,0.335,3.67,1.618,2.14,jab
3.441,12.798,8.688,3.405,1.302,3.37,7.256,13.239,11.106,jab
1.57,1.462,0.882,0.804,1.324,0.447,2.754,1.077,1.267,jab
4.555,9.109,7.944,2.818,1.3,3.262,8.661,12.521,12.987,jab
1.824,4.738,2.4,1.06,1.097,1.01,2.046,0.897,0.754,jab
5.517,8.987,11.547,3.387,1.311,2.972,5.803,11.439,11.229,jab
2.07,5.531,1.494,1.396,1.275,1.293,2.023,1.165,1.489,jab
6.235,7.995,9.84,3.513,1.544,3.303,5.847,12.232,12.243,jab
1.966,6.198,1.898,1.833,1.411,0.934,3.274,1.198,1.656,jab
5.315,11.229,9.784,3.513,1.684,3.004,5.111,14.103,12.602,jab
1.963,3.739,1.799,1.104,1.42,0.784,3.83,1.419,2.427,jab
3.873,6.337,8.091,2.164,1.108,2.373,5.554,14.636,13.435,jab
2.62,8.916,3.051,2.075,1.375,1.351,3.124,2.228,2.265,jab
5.581,6.505,7.979,3.302,1.666,2.427,6.269,11.456,13.092,jab
1.924,7.031,2.308,1.724,1.039,1.091,4.056,3.36,3.052,jab
3.652,10.714,10.159,2.696,1.138,2.614,5.356,11.339,13.146,jab
2.002,4.861,1.657,1.151,1.293,0.75,3.545,4.193,2.974,jab
5.223,12.257,9.941,2.957,1.28,3.399,4.327,13.052,13.312,jab
2.244,3.839,1.933,1.042,1.32,0.785,3.398,2.403,1.922,jab
3.369,7.392,9.038,1.852,1.911,2.276,3.37,12.621,11.725,jab
2.493,8.664,3.069,1.784,1.642,1.431,3.102,2.054,1.976,jab
5.536,6.698,7.722,1.694,1.781,2.442,6.542,9.78,13.228,jab
2.959,9.37,3.431,2.093,1.69,1.473,4.289,4.73,3.201,jab
4.982,5.178,5.996,0.502,1.83,1.965,3.327,6.967,7.236,jab
4.531,8.597,6.779,2.158,1.678,1.878,3.117,8.696,9.611,jab
4.754,9.853,9.58,2.011,1.791,2.142,4.807,12.308,12.484,jab
1.897,4.972,1.977,1.625,1.457,0.942,3.498,3.385,2.462,jab
6.224,9.144,12.073,2.392,1.52,3.153,6.199,13.326,12.82,jab
2.88,5.616,1.802,1.439,1.805,1.02,2.674,2.756,1.605,jab
5.94,5.958,7.449,1.849,2.072,2.125,6.769,11.418,12.408,jab
2.937,9.113,4.535,1.922,1.158,1.899,3.458,3.001,2.047,jab
6.427,8.308,11.292,2.962,1.251,2.852,4.229,13.146,12.676,jab
2.32,5.953,1.624,1.418,1.491,0.818,3.261,3.599,2.162,jab
9.928,13.63,11.112,2.932,1.885,3.504,4.144,9.31,12.262,jab
2.186,2.535,1.337,1.065,1.563,0.772,3.335,5.167,2.854,jab
5.46,15.701,12.244,2.831,1.53,2.903,3.02,11.893,12.188,jab
2.048,1.628,1.479,1.117,1.511,0.347,2.973,3.297,1.816,jab
7.161,14.009,11.873,2.709,1.892,3.487,3.583,6.752,7.341,jab
1.648,1.273,1.254,0.818,1.523,0.182,4.244,8.791,6.171,jab
8.107,11.161,11.657,2.696,2.077,3.539,3.32,6.857,4.009,jab
1.701,2.642,0.906,0.84,1.189,0.775,4.441,7.237,11.189,jab
5.793,5.078,6.01,1.221,1.67,2.389,5.054,10.183,12.349,jab
2.485,8.374,3.879,1.666,1.476,2.331,3.255,5.342,2.064,jab
6.625,5.005,4.915,1.552,2.029,1.868,3.389,6.929,8.471,jab
5.576,10.045,5.815,2.041,1.364,2.552,3.38,7.307,5.367,jab
7.24,4.316,9.192,1.797,1.637,3.034,4.108,10.111,11.973,jab
3.127,7.8,2.965,1.883,1.448,1.242,3.164,5.552,3.222,jab
