"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.501484693E0,8.299379349E-1,1.578988457E1,-1.786735916E1
4.521392714E0,-1.421716309E1,2.504270363E1,-2.432667160E1
4.541271412E0,-1.400568008E1,4.467743683E1,-2.438397217E1
4.561149433E0,-1.065809822E1,3.969248962E1,-3.439696503E1
4.581051308E0,-1.592865944E1,2.995125771E1,-4.656015778E1
4.600971672E0,-1.031957340E1,2.348575974E1,-4.750390625E1
4.620868547E0,-1.401257706E1,9.161219597E0,-5.596968842E1
4.640760318E0,-1.909120941E1,-7.809842110E0,-5.667849350E1
4.660655891E0,-2.416173172E1,-1.935055733E1,-4.927286530E1
4.680515474E0,-3.298212051E1,-3.195369720E1,-4.145023727E1
4.700401724E0,-3.020491600E1,-3.846706390E1,-2.891079903E1
4.720307297E0,-1.934084892E1,-3.808332825E1,-1.827961922E1
4.740191152E0,-1.106161976E1,-3.755195999E1,-1.258008575E1
4.760106829E0,-6.113024712E0,-3.112057495E1,-8.386608124E0
4.779995839E0,-2.499647617E0,-2.604570389E1,-7.008559227E0
4.799875631E0,-1.107519150E0,-2.202027893E1,-6.211315632E0
4.819779068E0,-1.135969281E0,-1.689891434E1,-4.691647053E0
4.839662297E0,-1.835820436E0,-1.199865913E1,-3.182348967E0
4.859530266E0,-2.291896820E0,-7.744854927E0,-2.508372068E0
4.879465110E0,-1.623189926E0,-3.783308268E0,-2.198748827E0
4.899323704E0,-1.611096621E0,-7.110629082E-1,-1.416371822E0
4.919230214E0,-1.823678374E0,2.288912773E0,-9.335932732E-1
4.939133131E0,-3.043474555E-1,4.164680958E0,-1.848137617E0
4.959010579E0,1.125284314E0,4.874267578E0,-1.917184591E0
4.978932506E0,5.913117528E-1,5.064304352E0,7.256202698E-1
4.998829224E0,3.627419472E-1,5.255180359E0,1.908721447E0
5.018711568E0,2.837254763E0,4.482795715E0,-5.390510559E-1
5.038560579E0,4.807728291E0,3.419208527E0,-2.454445362E0
5.058477610E0,4.558167458E0,2.568896294E0,-4.832038879E-1
5.078380370E0,4.161904812E0,2.030784607E0,1.223378181E0
5.098249745E0,4.007719040E0,1.281799316E0,1.710977554E-1
5.118164485E0,3.516491175E0,3.144741058E-2,-1.734272957E0
5.138038183E0,2.673601627E0,-6.965517998E-1,-1.583161354E0
5.157917402E0,2.139065027E0,-5.931959152E-1,-3.440346718E-1
5.177823339E0,1.860624909E0,-4.451322556E-1,-2.309951782E-1
5.197725735E0,1.518680215E0,-2.813663483E-1,-9.687738419E-1
5.217618027E0,1.083078027E0,1.196269989E-1,-1.073528767E0
5.237513027E0,1.042186022E0,6.333093643E-1,-6.833209991E-1
5.257407193E0,1.241122723E0,1.205026627E0,-7.464718819E-1
5.277284589E0,1.339645863E0,1.762419701E0,-1.152697086E0
5.297192766E0,1.241986156E0,1.967278481E0,-1.120873213E0
5.317062818E0,1.128756762E0,1.976101875E0,-5.687289238E-1
5.336976152E0,1.469683647E0,1.813852310E0,-3.731708527E-1
5.356871516E0,1.700233340E0,1.630283356E0,-7.052402496E-1
5.376799954E0,1.756898642E0,1.446630478E0,-9.003081322E-1
5.396652610E0,1.735565305E0,1.453639030E0,-6.705722809E-1
5.416542141E0,1.662020683E0,1.338982582E0,-5.974617004E-1
5.436435787E0,1.532105446E0,1.171881676E0,-7.655210495E-1
5.456312506E0,1.167922378E0,1.136310577E0,-8.160648346E-1
5.476208287E0,6.039347649E-1,1.244229317E0,-6.426098347E-1
5.496089016E0,4.132089615E-1,1.170743942E0,-4.467959404E-1
5.515972349E0,3.994309902E-1,9.182195663E-1,-4.227771759E-1
5.535880943E0,3.278026581E-1,7.138757706E-1,-2.957177162E-1
5.555817766E0,2.253224850E-1,6.815357208E-1,-1.419334412E-1
5.575708808E0,1.514508724E-1,5.541477203E-1,-2.682175636E-1
5.595547974E0,1.863262653E-1,2.814559937E-1,-2.468438148E-1
5.615433027E0,6.622481346E-2,6.470012665E-2,6.341457367E-3
5.635337974E0,-1.317200661E-1,5.561065674E-2,1.029996872E-1
5.655240318E0,-1.892709732E-1,2.399740219E-1,-1.338558197E-1
