"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.312785121E0,-8.055830002E-1,-2.403450012E-1,2.731580734E-1
2.332669339E0,-1.972932816E-1,2.080340385E-1,3.280397654E-1
2.352534600E0,2.619547844E-1,4.148631096E-1,5.138132572E-1
2.372434860E0,5.468721390E-1,3.560986519E-1,7.395845652E-1
2.392332100E0,7.901167870E-1,3.197093010E-1,2.116585970E-1
2.412237516E0,1.121182919E0,7.090311050E-1,7.378065586E-2
2.432115173E0,1.399453163E0,1.020393848E0,4.849054813E-1
2.452044027E0,1.544714928E0,1.302118301E0,9.860212803E-1
2.471884548E0,1.615813732E0,2.098310471E0,1.623082042E0
2.491789079E0,2.051637173E0,3.129575729E0,2.875076532E0
2.511695225E0,2.778296471E0,4.459131241E0,4.968853951E0
2.531583141E0,3.619253874E0,7.052248955E0,7.267920017E0
2.551470746E0,5.996677399E0,1.166235924E1,1.022197819E1
2.571350381E0,1.057362556E1,1.783973694E1,1.265447617E1
2.591263037E0,1.491304588E1,2.440807152E1,1.210020733E1
2.611119860E0,1.520680237E1,2.603599167E1,8.623764038E0
2.631039600E0,1.224130058E1,2.096607590E1,2.996789455E0
2.650892881E0,6.905930519E0,1.194339752E1,-3.129949808E0
2.670804131E0,4.118537903E-2,6.729335785E-1,-8.318683624E0
2.690706683E0,-1.126644135E0,-1.227997971E1,-1.170004559E1
2.710574443E0,2.107427835E0,-2.800123024E1,-1.366766167E1
2.730467464E0,7.212386608E0,-4.842164230E1,-6.843904972E0
2.750360850E0,9.479924202E0,-4.219268036E1,3.381523132E0
2.770249287E0,6.305414200E0,-2.640402222E1,-9.101537704E0
2.790119235E0,-1.105737686E-1,-6.751851082E0,-8.153914452E0
2.810061266E0,5.444978714E0,-6.897269249E0,-7.351998329E0
2.829935850E0,8.778953552E0,-1.230166531E1,-8.344246864E0
2.849819443E0,7.114431381E0,-8.705584526E0,-6.514459610E0
2.869721266E0,3.537019730E0,-6.798979282E0,-3.205643177E0
2.889582673E0,4.922733307E-1,-9.436162949E0,-9.457206726E-2
2.909488714E0,1.852278709E-1,-1.166670227E1,1.301605225E0
2.929381996E0,1.092819691E0,-1.368133354E1,3.293485641E-1
2.949264131E0,6.118655205E-1,-1.172313595E1,-8.633279800E-1
2.969164652E0,5.198421478E-1,-7.028603554E0,-1.471600056E0
2.989053037E0,1.135329723E0,-4.080153942E0,-1.774967194E0
3.008943871E0,1.130865097E0,-1.588114738E0,-6.584057808E-1
3.028831735E0,1.086987019E0,2.011987925E0,-6.431441307E-1
3.048721214E0,1.255762100E0,4.291319370E0,-2.063469648E0
3.068587464E0,1.118210793E0,5.754930019E0,-1.517842531E0
3.088483193E0,7.112331390E-1,8.424078941E0,1.647655249E0
3.108385693E0,-4.986286163E-2,9.779638290E0,3.620433807E0
3.128268975E0,-7.039871216E-1,8.423320770E0,2.856057882E0
3.148155381E0,-3.228311539E-1,7.302773476E0,2.543718338E0
3.168063454E0,4.017395973E-1,7.212953568E0,3.725236893E0
3.187946214E0,1.237789631E0,6.716159344E0,4.026430130E0
3.207841475E0,1.911075115E0,5.212243557E0,2.579786062E0
3.227731110E0,2.507192612E0,3.792735100E0,1.196657658E0
3.247596110E0,3.085714340E0,3.002375126E0,8.217597604E-1
3.267496631E0,3.389808655E0,2.515717983E0,8.480187654E-1
3.287384131E0,3.431212425E0,2.044794083E0,9.622410536E-1
3.307282568E0,2.905743122E0,1.840735435E0,1.004775405E0
3.327201891E0,2.261651516E0,1.736928463E0,8.655023575E-1
3.347083766E0,2.140735149E0,1.787289619E0,9.061309695E-1
3.366944548E0,2.052341461E0,1.905195713E0,1.127901793E0
3.386850641E0,1.741049290E0,1.794831753E0,9.774842262E-1
3.406745121E0,1.667137146E0,1.766507626E0,6.246594787E-1
3.426594496E0,1.932777882E0,1.865620613E0,3.478439450E-1
3.446500589E0,2.135264874E0,1.739130497E0,3.220950365E-1
3.466406996E0,2.019793034E0,1.395233631E0,4.050460458E-1
3.486277777E0,1.420804977E0,1.163118839E0,3.541274071E-1
3.506179964E0,9.924912453E-1,1.114483833E0,-1.171857119E-2
3.526087985E0,8.687806129E-1,1.121017933E0,-1.768668294E-1
3.545942048E0,8.881535530E-1,8.940773010E-1,6.656217575E-2
3.565840277E0,6.882987022E-1,5.152573586E-1,1.129138470E-1
3.585719600E0,2.304182053E-1,2.163777351E-1,-7.458925247E-4
3.605634496E0,5.228805542E-2,-1.536035538E-2,-9.423840046E-2
3.625519131E0,7.096147537E-2,-2.400693893E-1,-1.609194875E-1
3.645405329E0,-9.984731674E-2,-5.005793571E-1,-1.564612389E-1
3.665284443E0,-3.208808899E-1,-5.147027969E-1,-2.949909568E-1
3.685187152E0,-5.251116753E-1,-3.627257347E-1,-7.369832397E-1
3.705086683E0,-5.238509178E-1,-2.844090462E-1,-9.150923491E-1
3.724978558E0,-5.628528595E-1,-3.988170624E-1,-8.082567453E-1
3.744848818E0,-8.096418381E-1,-7.211623192E-1,-6.367384195E-1
3.764763975E0,-9.890122414E-1,-7.039217949E-1,-4.562196732E-1
3.784647100E0,-9.735784531E-1,-5.948591232E-1,-4.825064242E-1
3.804522360E0,-8.915991783E-1,-5.751471519E-1,-4.030226469E-1
3.824405902E0,-7.938919067E-1,-6.042661667E-1,-1.689493060E-1
