"Time (s)","X (hPa)"
1.486994257E2,1.012965851E3
1.497729577E2,1.012960129E3
1.508465117E2,1.012960052E3
1.519200287E2,1.012956467E3
1.529935217E2,1.012953339E3
1.540669947E2,1.012953339E3
1.551404927E2,1.012953110E3
1.562139837E2,1.012953110E3
1.572874557E2,1.012952728E3
1.583609367E2,1.012952728E3
1.594343897E2,1.012953796E3
1.605078507E2,1.012953796E3
1.615813437E2,1.012953186E3
1.626548397E2,1.012951889E3
1.637283277E2,1.012951889E3
1.648017997E2,1.012951202E3
1.658752607E2,1.012951202E3
1.669486977E2,1.012949371E3
1.680221787E2,1.012948990E3
1.690956767E2,1.012948990E3
1.701692067E2,1.012952042E3
1.712427457E2,1.012957153E3
1.723163137E2,1.012957153E3
1.733898257E2,1.012956161E3
1.744633557E2,1.012955475E3
1.755369027E2,1.012951889E3
1.766104727E2,1.012947693E3
1.776839827E2,1.012947540E3
1.787574897E2,1.012947006E3
1.798310137E2,1.012947006E3
1.809045247E2,1.012947464E3
1.819780287E2,1.012947922E3
1.830515677E2,1.012949142E3
1.841250777E2,1.012951660E3
1.851985837E2,1.012951660E3
1.862720977E2,1.012948380E3
1.873456037E2,1.012944717E3
1.884191167E2,1.012944489E3
1.894925977E2,1.012944489E3
1.905660937E2,1.012947083E3
1.916395887E2,1.012952576E3
1.927131077E2,1.012952576E3
1.937866677E2,1.012952499E3
1.948602267E2,1.012948074E3
1.959337547E2,1.012942657E3
1.970072647E2,1.012937317E3
1.980807447E2,1.012933578E3
1.991542957E2,1.012933578E3
2.002278147E2,1.012935104E3
2.013013637E2,1.012941360E3
2.023749027E2,1.012941360E3
2.034484297E2,1.012941360E3
2.045219797E2,1.012940979E3
2.055955247E2,1.012938843E3
2.066690187E2,1.012935944E3
2.077425657E2,1.012935944E3
2.088160987E2,1.012935944E3
2.098896427E2,1.012936707E3
2.109631587E2,1.012937775E3
2.120367337E2,1.012943497E3
2.131102987E2,1.012943497E3
2.141838527E2,1.012942657E3
2.152573987E2,1.012942657E3
2.163309237E2,1.012944489E3
2.174044587E2,1.012946396E3
2.184780137E2,1.012946396E3
2.195514997E2,1.012964783E3
2.206250247E2,1.012964783E3
2.216985787E2,1.012959213E3
2.227720857E2,1.012959213E3
2.238456297E2,1.012958145E3
2.249191707E2,1.012934494E3
2.259927397E2,1.012930679E3
2.270662837E2,1.012930679E3
2.281398667E2,1.012930679E3
2.292133857E2,1.012929993E3
2.302869147E2,1.012929153E3
2.313604467E2,1.012929153E3
2.324340217E2,1.012925339E3
2.335075807E2,1.012922363E3
2.345811537E2,1.012922363E3
2.356547397E2,1.012923737E3
2.367282987E2,1.012924881E3
2.378018627E2,1.012924881E3
2.388754457E2,1.012928925E3
2.399489797E2,1.012928925E3
2.410225017E2,1.012929611E3
2.420960877E2,1.012929611E3
2.431696147E2,1.012930145E3
2.442431547E2,1.012930145E3
2.453167407E2,1.012930145E3
2.463902887E2,1.012935028E3
2.474638317E2,1.012935028E3
2.485373857E2,1.012934875E3
2.496109347E2,1.012934036E3
2.506845007E2,1.012932739E3
2.517581147E2,1.012930145E3
2.528317427E2,1.012926788E3
2.539053527E2,1.012924347E3
2.549789117E2,1.012922821E3
2.560524747E2,1.012922211E3
2.571260227E2,1.012921143E3
2.581995327E2,1.012920685E3
2.592730967E2,1.012920685E3
2.603466567E2,1.012920685E3
2.614202167E2,1.012920685E3
2.624937697E2,1.012920685E3
2.635673507E2,1.012920685E3
2.646409237E2,1.012920151E3
2.657145027E2,1.012920151E3
2.667880997E2,1.012922668E3
2.678616887E2,1.012925110E3
2.689352347E2,1.012925110E3
2.700087737E2,1.012921753E3
2.710822967E2,1.012920990E3
2.721557957E2,1.012920761E3
2.732293727E2,1.012920685E3
2.743029677E2,1.012920532E3
2.753765987E2,1.012920532E3
2.764501417E2,1.012923050E3
2.775236937E2,1.012923737E3
2.785972837E2,1.012923737E3
2.796708587E2,1.012924271E3
2.807444337E2,1.012924271E3
2.818180727E2,1.012924271E3
2.828916467E2,1.012919693E3
2.839652107E2,1.012918015E3
2.850388547E2,1.012915726E3
2.861124217E2,1.012915726E3
2.871860207E2,1.012915649E3
2.882596237E2,1.012915726E3
2.893332467E2,1.012918167E3
2.904068587E2,1.012922592E3
2.914804867E2,1.012923279E3
2.925541127E2,1.012923737E3
2.936277827E2,1.012923737E3
2.947014767E2,1.012921982E3
2.957751107E2,1.012920303E3
2.968487837E2,1.012919846E3
