"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.947371421E0,-3.886238575E0,-3.237558365E0,4.683257937E-1
2.967277567E0,-4.401766777E0,-4.131295204E0,1.785948038E0
2.987180171E0,-5.268301010E0,-3.587570667E0,2.920944214E0
3.007033453E0,-6.076226711E0,-2.583555222E0,3.328568697E0
3.026930692E0,-7.027867794E0,-1.806231976E0,3.821390629E0
3.046838244E0,-8.065149307E0,-7.110104561E-1,4.648764610E0
3.066738088E0,-8.969351768E0,8.103981018E-1,4.475167751E0
3.086616890E0,-9.720581055E0,3.919718266E0,3.378462315E0
3.106506994E0,-1.131116581E1,1.088749981E1,5.636534691E-1
3.126409755E0,-1.048936653E1,1.567172623E1,-6.717083931E0
3.146267671E0,-3.891854286E0,1.870290756E1,-1.235514164E1
3.166213661E0,7.407365799E0,2.826014900E1,-1.659857178E1
3.186111369E0,1.175163460E1,4.312732697E1,-2.699745560E1
3.205948765E0,3.443652391E0,4.802277756E1,-4.429506683E1
3.225870171E0,5.380706787E-1,3.135481453E1,-6.045092010E1
3.245749755E0,9.347617149E0,5.365882397E0,-6.328188324E1
3.265643296E0,1.576535892E1,-8.305305481E0,-5.425767899E1
3.285544078E0,1.980858040E1,-1.279588890E1,-4.815372849E1
3.305401161E0,2.434910774E1,-2.139814377E1,-4.532402420E1
3.325325276E0,1.980699158E1,-2.686009598E1,-3.701294327E1
3.345215067E0,1.335478401E1,-3.118751717E1,-2.806949234E1
3.365109078E0,1.565819073E1,-3.462895966E1,-2.319540977E1
3.384959182E0,1.301777840E1,-3.467092133E1,-1.988425446E1
3.404876734E0,8.726816177E0,-2.945818710E1,-1.424533653E1
3.424785901E0,5.268415451E0,-2.309919357E1,-8.862268448E0
3.444662567E0,2.750263691E0,-1.804608727E1,-6.460077763E0
3.464529026E0,1.838439226E0,-1.401442719E1,-5.462184429E0
3.484452359E0,2.341057301E0,-1.055168533E1,-4.542899132E0
3.504329338E0,3.195580721E0,-7.620508671E0,-3.320461988E0
3.524262359E0,2.944333076E0,-4.988810062E0,-1.390688896E0
3.544148296E0,8.850372434E-1,-2.810049534E0,-3.036375046E-1
3.563997098E0,-1.610235095E0,-1.237323284E0,-5.164284706E-1
3.583910692E0,-1.631210446E0,8.092451096E-1,1.478543282E-1
3.603791578E0,4.296361804E-1,2.081157684E0,1.571529865E0
3.623663765E0,-7.037829757E-1,1.746031761E0,1.038238525E0
3.643547567E0,-3.468213797E0,2.375654221E0,-9.015574455E-1
3.663453401E0,-2.998738050E0,3.360295296E0,-3.136732578E-1
3.683359963E0,-1.368209958E0,3.899074554E0,1.670287609E0
3.703254338E0,-2.303616285E0,3.077272415E0,3.893153667E-1
3.723126213E0,-3.124737024E0,2.273148537E0,-1.136456251E0
3.743029338E0,-1.194764495E0,2.269609451E0,9.118793011E-1
3.762935588E0,-8.544949293E-1,1.656817436E0,6.442143917E-1
3.782812567E0,-2.237011671E0,1.395758629E0,-1.461790323E0
3.802696005E0,-3.086187363E0,1.567377090E0,-1.518579483E0
3.822600588E0,-2.503073692E0,1.904021263E0,1.220677137E0
3.842462151E0,-2.040937185E0,2.002072334E0,1.359342575E0
3.862382463E0,-1.813207984E0,2.033325195E0,-3.803572655E-1
3.882267567E0,-1.904318810E0,2.422517776E0,-4.992489815E-1
3.902200536E0,-1.553124309E0,2.394846916E0,1.029134274E0
3.922043296E0,-1.070979357E0,2.018380165E0,1.718107462E0
3.941926630E0,-1.058673024E0,1.604392052E0,9.476666451E-1
3.961812151E0,-1.535617948E0,1.693313599E0,6.699550152E-1
3.981697984E0,-1.882690787E0,2.091575623E0,3.426029682E-1
4.001607151E0,-2.029810429E0,2.114265442E0,1.786501408E-1
4.021487567E0,-1.827033162E0,1.419702530E0,4.732813835E-1
4.041359390E0,-1.796175838E0,3.758134842E-1,4.593076706E-1
4.061279130E0,-2.045946836E0,-1.976013184E-2,6.777954102E-1
4.081202619E0,-1.757469535E0,1.248455048E-1,8.104336262E-1
4.101029338E0,-1.056136012E0,6.471920013E-2,2.552165985E-1
4.120939338E0,-2.435185909E-1,-1.627531052E-1,-6.168150902E-2
4.140814703E0,5.034327507E-2,3.106975555E-2,-2.375261784E-1
4.160708817E0,-2.573254108E-1,4.014015198E-1,-3.171761036E-1
4.180613765E0,-3.571245670E-1,4.380502701E-1,-1.079361439E-1
4.200512359E0,-1.840634346E-1,3.930282593E-1,-3.932785988E-2
4.220404442E0,-8.993959427E-2,3.659429550E-1,-1.219174862E-1
4.240310015E0,-4.020142555E-2,5.772342682E-1,-7.359933853E-2
4.260205223E0,-6.231594086E-2,4.116849899E-1,1.416754723E-2
4.280049130E0,-3.298535347E-1,6.183719635E-2,2.740700245E-1
4.299954130E0,-3.554401398E-1,-1.425991058E-1,5.439579487E-1
4.319835380E0,-2.162606716E-1,-2.159404755E-2,3.830354214E-1
4.339724911E0,9.516930580E-2,4.303264618E-2,4.210209846E-2
4.359628192E0,3.284823895E-1,-1.149463654E-2,-3.861308098E-2
4.379524234E0,3.583157063E-1,7.913875580E-2,9.202408791E-2
4.399412567E0,1.749231815E-1,2.975101471E-1,5.358839035E-2
4.419314859E0,4.972457886E-3,1.788120270E-1,-2.288222313E-2
4.439212411E0,-4.667210579E-2,3.616333008E-3,8.893680573E-2
4.459080380E0,-1.325511932E-2,8.695507050E-2,1.504938602E-1
4.478993505E0,-6.028389931E-2,1.472120285E-1,-5.332708359E-3
4.498894807E0,-7.459545135E-2,-8.574867249E-2,3.760814667E-2
4.518786526E0,-4.353499413E-2,-1.934719086E-1,1.443550587E-1
4.538650276E0,5.251765251E-2,2.325057983E-2,4.408359528E-4
4.558535015E0,3.218579292E-2,2.173624039E-1,-1.650588512E-1
4.578437828E0,-9.109735489E-3,4.271602631E-2,-1.442515850E-1
4.598360796E0,-1.097848415E-1,-1.570806503E-1,-2.767705917E-2
4.618280848E0,-1.971147060E-1,-2.159252167E-1,3.412246704E-3
4.638113453E0,-1.542267799E-1,-1.350212097E-1,-7.245516777E-2
4.657994286E0,-5.515766144E-2,8.791637421E-2,-1.148850918E-1
4.677900796E0,-1.932287216E-2,1.024618149E-1,-9.079122543E-2
4.697805901E0,1.094846725E-1,-2.930545807E-2,4.888200760E-2
4.717667619E0,2.601342201E-1,-2.641963959E-2,1.071112156E-1
4.737569703E0,2.749221325E-1,-5.170822144E-3,5.835199356E-2
4.757453348E0,2.211384773E-1,-3.133869171E-2,1.361083984E-2
4.777342463E0,1.461493969E-1,-7.998180389E-2,-3.368830681E-2
4.797254442E0,1.264019012E-1,6.674766541E-3,-1.645565033E-2
4.817136890E0,5.893206596E-2,9.496974945E-2,-4.284381866E-3
4.837034338E0,3.436946869E-2,4.826641083E-2,4.582643509E-2
4.856918036E0,2.123308182E-2,-7.245063782E-2,1.085743904E-1
