"Time (s)","X (hPa)"
1.487312192E2,1.010523529E3
1.498047272E2,1.010532608E3
1.508782342E2,1.010537033E3
1.519517442E2,1.010538788E3
1.530252532E2,1.010544434E3
1.540987662E2,1.010546112E3
1.551722112E2,1.010552444E3
1.562456902E2,1.010554047E3
1.573191532E2,1.010556564E3
1.583926602E2,1.010556564E3
1.594661612E2,1.010554123E3
1.605396932E2,1.010554123E3
1.616132042E2,1.010554123E3
1.626866552E2,1.010555115E3
1.637601362E2,1.010554962E3
1.648336302E2,1.010554962E3
1.659071422E2,1.010552444E3
1.669807032E2,1.010549698E3
1.680542342E2,1.010549698E3
1.691277452E2,1.010554504E3
1.702012592E2,1.010557632E3
1.712747632E2,1.010558472E3
1.723482732E2,1.010558472E3
1.734217882E2,1.010554733E3
1.744952942E2,1.010548401E3
1.755687502E2,1.010542984E3
1.766421912E2,1.010532837E3
1.777156542E2,1.010528259E3
1.787891442E2,1.010522537E3
1.798626712E2,1.010522537E3
1.809361762E2,1.010522537E3
1.820096202E2,1.010528870E3
1.830830862E2,1.010532379E3
1.841565342E2,1.010532379E3
1.852299872E2,1.010526886E3
1.863034522E2,1.010513229E3
1.873769552E2,1.010496674E3
1.884504362E2,1.010491791E3
1.895239062E2,1.010490723E3
1.905973982E2,1.010491791E3
1.916708422E2,1.010494995E3
1.927442522E2,1.010500031E3
1.938177402E2,1.010500488E3
1.948912372E2,1.010501709E3
1.959647682E2,1.010506363E3
1.970382482E2,1.010513687E3
1.981116942E2,1.010524445E3
1.991851382E2,1.010530167E3
2.002586862E2,1.010537949E3
2.013322112E2,1.010540695E3
2.024056832E2,1.010540695E3
2.034791802E2,1.010538559E3
2.045526522E2,1.010533218E3
2.056261712E2,1.010527115E3
2.066997002E2,1.010524826E3
2.077732332E2,1.010520401E3
2.088467342E2,1.010520401E3
2.099202632E2,1.010526581E3
2.109938052E2,1.010534973E3
2.120672982E2,1.010534973E3
2.131408142E2,1.010530319E3
2.142143592E2,1.010530319E3
2.152879152E2,1.010531998E3
2.163614632E2,1.010532608E3
2.174349722E2,1.010533829E3
2.185084732E2,1.010537720E3
2.195820002E2,1.010537720E3
2.206555642E2,1.010534286E3
2.217291172E2,1.010532990E3
2.228026452E2,1.010529251E3
2.238761902E2,1.010529251E3
2.249497272E2,1.010529251E3
2.260232232E2,1.010532379E3
2.270967692E2,1.010537415E3
2.281702752E2,1.010540695E3
2.292438442E2,1.010540695E3
2.303173492E2,1.010540695E3
2.313908802E2,1.010531616E3
2.324644152E2,1.010522537E3
2.335379242E2,1.010519562E3
2.346114422E2,1.010518570E3
2.356849552E2,1.010518570E3
2.367584752E2,1.010518112E3
2.378319552E2,1.010520020E3
2.389054712E2,1.010523224E3
2.399789882E2,1.010524216E3
2.410525222E2,1.010528030E3
2.421260392E2,1.010530777E3
2.431995612E2,1.010530777E3
2.442730962E2,1.010527115E3
2.453466912E2,1.010526886E3
2.464202492E2,1.010524445E3
2.474937692E2,1.010524445E3
2.485673312E2,1.010522308E3
2.496408992E2,1.010519409E3
2.507144962E2,1.010520630E3
2.517880962E2,1.010519791E3
2.528617152E2,1.010520630E3
2.539353522E2,1.010528793E3
2.550089922E2,1.010532455E3
2.560826162E2,1.010532455E3
2.571562392E2,1.010531616E3
2.582298552E2,1.010530777E3
2.593035352E2,1.010530090E3
2.603771832E2,1.010530319E3
2.614508202E2,1.010530319E3
2.625244262E2,1.010530319E3
2.635980352E2,1.010526886E3
2.646717062E2,1.010518112E3
2.657453382E2,1.010515366E3
2.668189952E2,1.010508881E3
2.678926302E2,1.010508881E3
2.689663062E2,1.010512161E3
2.700399692E2,1.010515366E3
2.711136352E2,1.010518570E3
2.721873402E2,1.010523605E3
2.732609642E2,1.010523605E3
2.743346272E2,1.010521240E3
2.754082892E2,1.010518341E3
2.764819452E2,1.010515137E3
2.775555842E2,1.010513077E3
2.786292232E2,1.010510788E3
2.797029372E2,1.010508804E3
2.807766272E2,1.010508804E3
2.818503032E2,1.010495224E3
2.829239312E2,1.010489731E3
2.839975482E2,1.010481873E3
2.850711032E2,1.010481873E3
2.861447082E2,1.010481262E3
2.872183452E2,1.010482254E3
2.882920022E2,1.010481262E3
2.893656592E2,1.010482254E3
2.904392802E2,1.010482330E3
2.915129052E2,1.010483856E3
2.925864692E2,1.010499115E3
2.936600482E2,1.010511780E3
2.947337042E2,1.010513687E3
2.958074172E2,1.010513687E3
2.968811032E2,1.010511856E3
