X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
9.081,4.384,1.561,0.528,0.777,0.663,1012.940063,cross
9.39,3.736,0.925,0.584,0.461,0.314,1012.932968,cross
7.839,5.109,1.992,0.216,0.762,0.206,1012.928314,cross
15.36,14.844,4.624,1.29,4.414,3.365,1012.924118,cross
13.086,13.962,5.326,1.214,4.365,2.655,1012.922592,cross
13.723,10.491,6.546,1.078,3.343,2.862,1012.922592,cross
8.894,4.415,1.608,0.58,1.137,0.839,1012.928467,cross
13.81,17.034,7.231,2.668,6.149,2.87,1012.928467,cross
13.786,19.176,5.592,1.272,7.083,3.353,1012.9245,cross
13.953,7.712,4.697,2.075,3.89,1.923,1012.9245,cross
14.013,15.007,6.822,2.183,5.47,2.823,1012.925186,cross
10.251,3.513,3.005,0.92,1.471,1.321,1012.925415,cross
10.09,3.105,1.915,1.019,1.638,0.834,1012.925415,cross
9.595,8.757,3.131,1.215,4.073,2.074,1012.925415,cross
11.244,12.948,3.305,1.294,4.593,2.355,1012.924576,cross
11.508,12.509,4.901,1.63,4.76,2.468,1012.914047,cross
11.37,11.83,7.546,1.15,3.35,2.544,1012.914047,cross
8.971,2.656,3.808,0.867,0.82,1.355,1012.917633,cross
10.345,4.922,2.26,0.965,2.055,1.192,1012.921753,cross
10.788,13.175,6.548,0.988,4.089,3.02,1012.937012,cross
12.44,12.587,4.669,1.54,3.919,3.186,1012.942047,cross
8.187,4.308,4.095,0.442,0.367,0.36,1012.952271,cross
10.412,8.763,2.18,1.068,3.008,1.591,1012.954178,cross
10.986,10.846,4.795,1.487,4.616,2.992,1012.952271,cross
13.287,14.062,4.623,1.432,4.327,3.349,1012.939301,cross
14.095,14.155,5.963,1.628,4.743,3.746,1012.919235,cross
4.975,6.856,3.46,0.442,1.08,0.787,1012.919235,cross
6.384,5.229,4.725,0.178,1.085,0.21,1012.923889,cross
7.09,6.942,5.371,0.736,1.914,1.012,1012.930832,cross
13.794,14.072,5.839,1.414,5.558,3.554,1012.934875,cross
12.721,14.826,5.987,1.635,6.004,3.516,1012.942886,cross
14.692,15.349,5.595,1.947,5.313,3.461,1012.942886,cross
11.145,14.605,4.864,1.734,4.095,3.319,1012.928696,cross
11.683,14.594,5.52,1.761,5.397,2.975,1012.928696,cross
10.891,15.746,5.418,1.746,4.809,2.71,1012.93251,cross
11.362,9.795,4.563,1.769,3.948,2.522,1012.934799,cross
10.068,9.195,5.331,1.279,2.638,2.864,1012.944412,cross
9.534,3.304,1.631,0.71,0.972,1.282,1012.946014,cross
10.114,8.229,2.569,0.864,3.323,1.048,1012.952499,cross
12.927,16.437,6.264,1.638,5.343,3.7,1012.946854,cross
11.419,18.401,6.427,1.532,5.735,2.771,1012.946854,cross
11.589,16.271,5.011,1.509,5.68,2.582,1012.943649,cross
13.306,14.026,5.245,1.709,4.85,3.342,1012.938156,cross
8.772,16.676,6.042,1.349,5.946,2.731,1012.931366,cross
9.116,15.713,4.783,1.132,5.386,2.516,1012.931366,cross
10.545,15.891,6.319,1.852,5.714,2.35,1012.935104,cross
11.246,15.756,5.226,1.504,6.554,3.004,1012.936783,cross
11.061,16.224,4.713,1.19,5.701,3.088,1012.936783,cross
13.741,28.102,7.449,2.303,8.082,4.537,1012.943268,cross
10.19,18.553,4.84,1.04,4.836,2.281,1012.943878,cross
11.209,12.969,5.926,1.513,4.792,2.722,1012.950592,cross
9.43,8.714,4.148,0.929,2.584,1.61,1012.964783,cross
12.599,11.211,6.473,1.087,3.076,2.028,1012.966156,cross
8.367,13.31,6.603,1.608,4.11,2.552,1012.966156,cross
11.225,14.146,5.947,1.204,4.005,2.425,1012.96051,cross
10.222,14.047,6.214,1.092,4.557,2.617,1012.957993,cross
6.23,14.622,5.434,0.938,3.386,2.124,1012.949753,cross
10.278,14.673,4.991,0.829,3.731,2.613,1012.949753,cross
4.864,12.701,5.744,0.778,3.676,1.901,1012.956161,cross
9.899,11.905,6.479,1.17,3.699,2.799,1012.956161,cross
10.987,19.156,5.929,1.585,4.546,2.564,1012.946854,cross
12.077,14.529,6.844,1.667,3.772,2.914,1012.946854,cross
8.85,4.632,3.183,1.009,1.858,1.585,1012.94426,cross
9.223,5.2,2.447,0.773,0.877,0.891,1012.94426,cross
7.594,7.296,2.634,0.667,1.283,0.974,1012.946854,cross
11.654,15.616,6.976,1.608,5.72,3.579,1012.948151,cross
14.704,16.572,8.431,1.497,5.143,3.481,1012.948151,cross
15.52,17.839,8.075,1.771,5.581,3.984,1012.953644,cross
14.343,13.308,6.106,1.39,3.954,3.349,1012.9496,cross
12.462,13.067,4.211,1.522,3.523,2.799,1012.954788,cross
11.66,11.346,5.259,1.096,3.813,3.059,1012.95166,cross
12.237,14.215,6.113,1.667,4.211,3.646,1012.95166,cross
11.76,13.091,6.76,1.931,5.089,3.575,1012.948303,cross
13.032,14.721,5.548,1.862,5.387,3.463,1012.943039,cross
11.586,14.596,5.958,1.794,5.002,3.071,1012.943039,cross
12.551,13.187,4.057,1.414,5.852,2.874,1012.945786,cross
