"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.489900484E0,-3.696358502E-1,-1.914090663E-1,-1.250317246E-1
2.509814234E0,-3.680379987E-1,-1.002650559E-1,-9.786828607E-2
2.529679286E0,-3.813534081E-1,-1.050586104E-1,-4.826837033E-2
2.549559807E0,-3.856143653E-1,-5.818835273E-2,2.316881903E-2
2.569446057E0,-3.722989559E-1,1.198387146E-1,1.356174797E-1
2.589325171E0,-3.488638103E-1,3.160413206E-1,2.741643488E-1
2.609219911E0,-3.163076341E-1,4.529903531E-1,4.106473327E-1
2.629141994E0,-2.406760901E-1,5.281558633E-1,5.737611651E-1
2.649033921E0,-1.276282370E-1,6.001256704E-1,7.394714355E-1
2.668916109E0,3.914731368E-2,7.312158942E-1,8.972591162E-1
2.688788557E0,2.816875577E-1,8.665670753E-1,1.051318407E0
2.708683088E0,5.332822800E-1,8.228924870E-1,1.180810809E0
2.728592463E0,7.459294200E-1,5.446669459E-1,1.245856643E0
2.748476890E0,9.410002232E-1,1.470687389E-1,1.277813554E0
2.768382984E0,1.180344820E0,-1.983330697E-1,1.327413559E0
2.788270432E0,1.477744460E0,-2.894770801E-1,1.347120285E0
2.808163401E0,1.709033251E0,-2.607157826E-1,1.345522404E0
2.828036161E0,1.876940608E0,-3.342834413E-1,1.354576945E0
2.847927411E0,2.045913219E0,-4.973306656E-1,1.313565493E0
2.867812307E0,2.215950966E0,-7.329468727E-1,1.258639336E0
2.887705432E0,2.289518595E0,-9.748879671E-1,1.073155642E0
2.907595744E0,2.276203156E0,-1.174818873E0,8.018541336E-1
2.927490744E0,2.210092306E0,-1.394922614E0,6.280879974E-1
2.947371421E0,2.239386082E0,-1.635332465E0,6.707639098E-1
2.967277567E0,2.405163050E0,-1.820816159E0,7.880061269E-1
2.987180171E0,2.619407892E0,-2.002571583E0,9.159006476E-1
3.007033453E0,2.897633553E0,-2.287188530E0,1.083808064E0
3.026930692E0,3.329918385E0,-2.710352182E0,1.287933350E0
3.046838244E0,3.869858503E0,-3.429917097E0,1.556039095E0
3.066738088E0,4.375111580E0,-4.498079777E0,1.925408721E0
3.086616890E0,4.907062531E0,-5.588012695E0,2.415282726E0
3.106506994E0,5.658584595E0,-6.551715851E0,3.143302917E0
3.126409755E0,6.366431713E0,-7.551037312E0,4.088364124E0
3.146267671E0,6.453847408E0,-7.588387012E0,4.507799625E0
3.166213661E0,5.319041252E0,-5.394007206E0,4.563258648E0
3.186111369E0,2.339584589E0,-4.829500318E-1,5.309454441E0
3.205948765E0,-2.604494810E0,5.825626373E0,5.426163673E0
3.225870171E0,-7.735722065E0,9.358338356E0,2.990375519E0
3.245749755E0,-1.072902679E1,8.071137428E0,-2.152036905E0
3.265643296E0,-1.140272045E1,3.091905355E0,-7.210695267E0
3.285544078E0,-1.140644836E1,-2.714613199E0,-9.178580284E0
3.305401161E0,-1.120232296E1,-5.534750938E0,-8.114146233E0
3.325325276E0,-1.018269539E1,-4.273115635E0,-5.981083870E0
3.345215067E0,-9.039434433E0,-2.385789156E0,-3.753681421E0
3.365109078E0,-8.142374992E0,-1.548449397E0,-1.012969971E0
3.384959182E0,-6.969753265E0,4.487294257E-1,1.744984835E-1
3.404876734E0,-5.448600292E0,1.442258954E0,6.649051309E-1
3.424785901E0,-4.286630630E0,1.367626071E0,9.394024014E-1
3.444662567E0,-3.537771940E0,1.334071159E0,9.564461112E-1
3.464529026E0,-2.630060434E0,1.145857811E0,1.157908320E0
3.484452359E0,-1.671750069E0,1.232208252E0,1.335402727E0
3.504329338E0,-8.226927519E-1,1.946979642E0,1.552310824E0
3.524262359E0,-2.316881903E-2,3.064142704E0,1.822547078E0
3.544148296E0,6.121761203E-1,3.865797281E0,1.937658906E0
3.563997098E0,9.948610663E-1,3.881242990E0,1.987791419E0
3.583910692E0,1.307706714E0,3.422327280E0,2.204166889E0
3.603791578E0,1.478809714E0,3.345564127E0,2.452033281E0
3.623663765E0,1.514495015E0,3.681911469E0,2.474935770E0
3.643547567E0,1.614160895E0,3.612071991E0,2.283060789E0
3.663453401E0,1.671217442E0,3.002891779E0,2.177003384E0
3.683359963E0,1.437265635E0,2.506093740E0,2.247375488E0
3.703254338E0,1.129679680E0,2.369677544E0,2.194047213E0
3.723126213E0,1.073754907E0,2.151104927E0,1.986726165E0
3.743029338E0,1.068428755E0,1.795650005E0,1.892919064E0
3.762935588E0,9.895349145E-1,1.734332561E0,1.845982194E0
3.782812567E0,1.020426631E0,1.851574779E0,1.645052671E0
3.802696005E0,1.060372949E0,1.556305408E0,1.508636236E0
3.822600588E0,9.623048902E-1,8.740902543E-1,1.553908706E0
3.842462151E0,8.056490421E-1,3.469330668E-1,1.562430501E0
3.862382463E0,7.262226343E-1,2.382127345E-1,1.321022153E0
3.882267567E0,6.638398767E-1,2.056565434E-1,1.027350664E0
3.902200536E0,4.810192883E-1,1.910761744E-2,8.684977889E-1
3.922043296E0,2.683721483E-1,-8.694964647E-2,7.603100538E-1
3.941926630E0,1.334870160E-1,1.603841484E-1,5.145741105E-1
3.961812151E0,4.340824485E-2,4.157072008E-1,2.730991244E-1
3.981697984E0,-1.517957076E-2,4.556534290E-1,1.846182048E-1
4.001607151E0,-8.714937419E-2,2.733654380E-1,1.404110342E-1
4.021487567E0,-1.846847683E-1,3.661738476E-3,6.950645149E-2
4.041359390E0,-2.454696298E-1,-1.951373816E-1,-2.323539555E-2
4.061279130E0,-1.905435622E-1,-3.385443687E-1,-1.170424819E-1
4.081202619E0,-7.916013151E-2,-5.117112994E-1,-1.644453406E-1
4.101029338E0,-2.476666868E-2,-6.694989800E-1,-1.468690038E-1
4.120939338E0,-2.263620123E-2,-6.524552107E-1,-1.159772426E-1
4.140814703E0,-4.340824485E-2,-4.003278911E-1,-1.202381775E-1
4.160708817E0,-6.531210244E-2,-1.722348630E-1,-1.607170254E-1
4.180613765E0,-8.182321489E-2,-1.866155118E-1,-1.846847683E-1
4.200512359E0,-1.095192730E-1,-3.428052962E-1,-1.729672104E-1
4.220404442E0,-1.207042187E-1,-4.568518102E-1,-1.639127284E-1
4.240310015E0,-1.191063672E-1,-4.861457348E-1,-1.649779677E-1
4.260205223E0,-1.313565522E-1,-4.696346223E-1,-1.601844132E-1
4.280049130E0,-1.527277827E-1,-4.280905128E-1,-1.633801162E-1
4.299954130E0,-1.740324497E-1,-4.019257426E-1,-1.697715074E-1
4.319835380E0,-1.990654171E-1,-3.912734091E-1,-1.426080763E-1
4.339724911E0,-2.086525112E-1,-3.417400718E-1,-1.255643368E-1
4.359628192E0,-2.075872868E-1,-2.697702646E-1,-1.202381775E-1
4.379524234E0,-2.059894353E-1,-1.972678453E-1,-1.308905035E-1
4.399412567E0,-1.889457107E-1,-1.546585262E-1,-1.287600398E-1
4.419314859E0,-1.612496525E-1,-1.493323594E-1,-1.047922969E-1
4.439212411E0,-1.404775977E-1,-1.615825295E-1,-8.555153012E-2
4.459080380E0,-1.377479434E-1,-1.589194536E-1,-7.969274372E-2
4.478993505E0,-1.495320797E-1,-1.514628232E-1,-6.904041767E-2
4.498894807E0,-1.489994675E-1,-1.525280476E-1,-6.477948278E-2
4.518786526E0,-1.452711523E-1,-1.327546686E-1,-5.998593569E-2
4.538650276E0,-1.410102248E-1,-7.363422960E-2,-6.211639941E-2
4.558535015E0,-1.191063672E-1,-2.563216910E-2,-5.945331976E-2
4.578437828E0,-9.247554094E-2,-2.882786840E-2,-5.572500080E-2
4.598360796E0,-7.489919662E-2,-4.427374899E-2,-5.679023638E-2
4.618280848E0,-6.531210244E-2,-4.587159678E-2,-4.826837033E-2
4.638113453E0,-6.584471464E-2,-5.925358832E-2,-2.536586113E-2
4.657994286E0,-6.904041767E-2,-8.748225868E-2,-5.126433913E-3
