"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.863360476E0,-3.721657768E-2,2.224339694E-1,8.302159607E-2
4.883233445E0,-3.242303059E-2,1.899443567E-1,7.503235340E-2
4.903103132E0,-2.709686570E-2,1.526612043E-1,6.544525176E-2
4.923014435E0,-2.603163198E-2,1.489328891E-1,6.757572293E-2
4.942921987E0,-2.496639825E-2,1.446719617E-1,7.130403817E-2
4.962788914E0,-1.484668534E-2,1.270290315E-1,7.290188223E-2
4.982669382E0,-6.324821152E-3,1.233007237E-1,6.331478804E-2
5.002559382E0,5.392742343E-3,1.302247345E-1,5.639077350E-2
5.022470789E0,1.497983932E-2,1.307573467E-1,6.544525176E-2
5.042363757E0,1.551245619E-2,1.169093251E-1,6.704310328E-2
5.062226830E0,3.368799388E-2,1.078548431E-1,5.372769013E-2
5.082132768E0,5.872096866E-2,1.057243794E-1,5.106460676E-2
5.102003028E0,7.469946891E-2,6.471290439E-2,6.810833514E-2
5.121911518E0,7.097115368E-2,-3.708342463E-2,1.048588753E-1
5.141795320E0,3.688369319E-2,-1.303578913E-1,1.555240154E-1
5.161682924E0,-2.123808302E-2,-1.725011766E-1,2.268946320E-1
5.181563862E0,-1.262301207E-1,-2.140452564E-1,3.004622757E-1
5.201460372E0,-3.111811876E-1,-2.972000241E-1,3.671059310E-1
5.221352091E0,-5.286219120E-1,-3.521260917E-1,4.763588905E-1
5.241240685E0,-7.732926011E-1,-2.434057444E-1,6.836798787E-1
5.261136778E0,-9.491891861E-1,1.958031505E-1,9.011871219E-1
5.280998757E0,-1.074953318E0,1.152582169E0,1.151650071E0
5.300901414E0,-1.026485205E0,2.680126190E0,1.482671261E0
5.320782820E0,-1.023822069E0,4.442221642E0,1.807300925E0
5.340691101E0,-1.119759679E0,6.015104771E0,2.259758711E0
5.360566153E0,-1.336135149E0,7.321479797E0,2.857820511E0
5.380498237E0,-1.623947740E0,8.458349228E0,3.359878063E0
5.400386570E0,-1.898445010E0,9.488163948E0,3.658942223E0
5.420249695E0,-2.320610046E0,1.024874020E1,4.037366390E0
5.440139018E0,-3.104621649E0,1.054400921E1,4.571913719E0
5.460010424E0,-3.989963531E0,1.048535538E1,4.962654114E0
5.479893028E0,-5.235553741E0,1.056318378E1,4.504803658E0
5.499808028E0,-6.922017574E0,1.003928852E1,3.384977579E0
5.519669487E0,-8.669665337E0,6.960631847E0,2.813014030E0
5.539580841E0,-9.714924812E0,2.373672009E0,2.789578915E0
5.559467455E0,-8.437311172E0,-2.316216081E-1,3.403086662E0
5.579381414E0,-3.929711103E0,-1.077017188E0,4.087965012E0
