X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
9.98,8.916,4.108,0.828,1.003,2.682,1010.345078,rh
24.374,17.69,8.297,1.667,2.988,4.766,1010.345078,rh
23.486,20.606,11.195,1.533,2.88,5.505,1010.338135,rh
8.589,5.034,2.986,1.58,0.96,1.436,1010.338135,rh
8.096,4.807,4.779,0.402,0.344,0.435,1010.339584,rh
7.776,5.69,2.05,0.324,0.702,0.836,1010.343857,rh
7.637,5.764,2.573,0.45,0.888,0.758,1010.347366,rh
21.111,11.611,7.837,1.362,2.016,3.713,1010.347366,rh
24.386,17.331,10.019,1.825,3.44,5.63,1010.347137,rh
24.069,19.185,10.342,2.368,3.112,5.108,1010.343628,rh
25.614,18.748,13.864,1.752,2.729,4.818,1010.338745,rh
11.073,6.525,2.353,1.667,1.578,1.711,1010.338058,rh
8.481,4.847,1.95,0.196,0.402,0.276,1010.338745,rh
8.594,4.488,0.644,0.264,0.481,0.416,1010.340042,rh
6.956,7.577,1.159,0.203,0.632,0.36,1010.340881,rh
14.362,7.32,3.847,1.06,1.368,2.364,1010.340881,rh
23.204,19.165,12.54,1.842,3.058,5.288,1010.337524,rh
28.056,20.186,11.311,2.101,3.036,5.507,1010.33638,rh
24.737,17.77,11.189,1.538,2.192,5.749,1010.335846,rh
11.597,6.983,5.64,2.036,1.921,3.151,1010.324402,rh
26.789,18.312,8.972,2.392,3.209,4.994,1010.319748,rh
6.958,7.013,2.541,0.751,0.509,0.791,1010.319366,rh
5.726,7.236,3.014,0.283,0.732,0.455,1010.31662,rh
26.409,20.028,10.831,1.524,3.082,5.322,1010.31662,rh
25.562,15.843,13.431,2.055,2.903,4.791,1010.317688,rh
12.373,7.297,5.551,2.058,2.253,3.25,1010.317688,rh
24.336,18.082,17.577,2.88,3.704,4.598,1010.31517,rh
27.572,21.142,12.299,2.557,3.753,5.57,1010.312424,rh
28.133,20.363,18.486,2.709,4.096,6.003,1010.309296,rh
27.578,17.596,18.695,3.012,4.047,5.027,1010.312424,rh
17.422,8.014,9.762,2.772,3.354,2.817,1010.309296,rh
19.21,19.227,13.41,2.621,2.6,4.392,1010.309296,rh
8.803,3.72,2.229,0.439,1.005,1.296,1010.309296,rh
7.39,6.095,1.694,0.273,0.611,0.352,1010.312805,rh
6.583,5.889,4.777,0.117,0.493,0.284,1010.31662,rh
8.942,4.383,2.281,0.604,1.065,0.981,1010.319443,rh
8.732,2.793,1.27,0.499,1.094,1.12,1010.321884,rh
9.173,4.368,0.97,0.386,0.326,0.215,1010.321884,rh
9.417,3.767,1.869,0.458,0.993,1.452,1010.319824,rh
7.413,4.627,2.964,0.491,0.608,1.698,1010.319824,rh
28.491,18.889,9.267,1.466,3.151,5.636,1010.323563,rh
20.45,18.524,11.131,1.355,2.233,4.874,1010.328598,rh
11.817,5.881,5.293,1.572,2.061,3.189,1010.339355,rh
26.562,18.215,10.668,2.237,2.989,5.159,1010.347443,rh
24.154,19.604,9.947,2.131,2.521,5.151,1010.351791,rh
20.148,6.304,5.905,1.787,3.195,3.665,1010.351791,rh
22.887,17.521,13.361,2.066,2.801,4.559,1010.35202,rh
29.155,19.579,12.943,2.513,3.837,5.647,1010.355377,rh
24.219,17.94,16.044,2.265,3.025,5.201,1010.357513,rh
19.073,7.758,8.504,2.514,3.077,3.597,1010.363388,rh
25.08,18.886,18.39,2.334,4.08,4.919,1010.363846,rh
30.224,21.268,18.023,2.653,4.602,5.562,1010.36438,rh
28.418,21.284,21.481,2.974,4.73,5.012,1010.365448,rh
25.554,20.917,17.868,2.693,3.226,5.713,1010.365448,rh
26.658,9.426,11.917,2.206,3.6,4.638,1010.364609,rh
17.356,17.517,11.68,2.322,3.074,4.423,1010.362473,rh
26.671,19.531,13.708,2.574,3.682,5.355,1010.358047,rh
24.88,20.017,17.146,2.744,4.065,4.825,1010.356598,rh
22.263,14.708,11.267,1.847,2.858,4.606,1010.354385,rh
11.488,6.359,2.871,2.134,1.762,1.585,1010.351181,rh
9.152,2.121,2.91,0.442,0.69,0.947,1010.351181,rh
8.313,4.55,1.403,0.534,1.181,1.067,1010.349884,rh
25.25,17.799,12.019,1.581,3.675,4.548,1010.349655,rh
10.557,4.958,2.317,1.152,1.197,1.328,1010.349655,rh
11.632,7.558,3.87,1.266,2.026,2.324,1010.349884,rh
25.496,23.298,17.313,1.863,2.784,4.93,1010.349884,rh
8.279,5.285,3.115,1.184,1.843,1.009,1010.349884,rh
21.877,14.567,13.145,2.161,3.917,3.977,1010.348892,rh
11.59,11.187,7.237,1.534,2.716,2.234,1010.349503,rh
27.873,21.794,19.141,2.259,4.427,5.106,1010.348892,rh
27.628,21.345,16.15,2.043,3.702,5.867,1010.345306,rh
19.611,7.783,10.526,2.686,3.79,2.89,1010.336685,rh
17.695,18.167,7.791,1.973,2.323,4.416,1010.330734,rh
8.655,4.082,2.609,0.647,1.173,1.553,1010.330124,rh
21.754,18.783,11.039,1.99,3.537,5.029,1010.330734,rh
14.763,7.367,4.026,2.385,2.826,2.906,1010.339584,rh
27.153,22.077,14.834,2.16,4.295,5.161,1010.35408,rh
26.28,18.64,12.383,2.091,3.979,5.618,1010.36438,rh
20.598,18.466,19.047,2.427,3.493,4.601,1010.377731,rh
15.546,6.703,4.266,1.728,2.242,3.464,1010.381088,rh
24.381,19.113,8.996,2.148,3.255,4.688,1010.39032,rh
8.277,5.605,0.831,0.429,0.685,0.69,1010.390472,rh
9.052,3.634,1.406,0.214,0.324,0.134,1010.393677,rh
8.609,3.028,1.363,0.377,0.596,0.806,1010.390472,rh
8.247,6.168,1.184,0.449,0.654,0.653,1010.389481,rh
8.822,3.502,0.833,0.385,0.772,0.621,1010.376816,rh
9.936,3.117,1.707,0.806,0.512,0.564,1010.375214,rh
8.854,3.811,1.582,0.467,0.416,0.34,1010.374374,rh
8.887,4.314,0.883,0.402,0.343,0.442,1010.374374,rh
7.23,6.278,1.592,0.122,0.457,0.1,1010.378799,rh
7.163,6.492,1.754,0.096,0.157,0.183,1010.38147,rh
8.765,5.493,2.418,0.502,1.157,1.914,1010.386505,rh
22.602,18.248,10.215,1.989,4.097,4.448,1010.38826,rh
23.134,19.563,12.162,1.608,3.376,4.901,1010.390701,rh
11.364,3.943,3.22,1.488,1.979,2.875,1010.395432,rh
21.602,14.893,5.888,1.393,3.405,4.013,1010.400391,rh
9.322,2.571,1.992,0.679,1.004,1.447,1010.402679,rh
17.749,8.927,6.424,1.318,2.092,3.445,1010.408783,rh
16.73,14.629,7.484,1.641,3.231,3.807,1010.415802,rh
30.182,24.413,11.246,2.041,3.827,6.014,1010.3602621720429,rh
22.919,21.67,14.319,2.355,2.72,5.281,1010.3602621720429,rh
12.094,9.241,7.745,2.123,2.296,1.809,1010.3602621720429,rh
8.231,6.171,2.157,0.66,1.029,0.622,1010.3602621720429,rh
28.192,25.109,17.357,2.81,3.254,6.583,1010.3602621720429,rh
25.241,23.868,14.103,3.548,3.424,5.572,1010.3602621720429,rh
25.619,26.815,13.133,2.692,3.393,5.969,1010.3602621720429,rh
27.477,23.409,17.992,2.806,3.476,5.144,1010.3602621720429,rh
19.895,10.079,7.413,2.248,1.999,3.476,1010.3602621720429,rh
19.678,22.91,10.198,2.074,2.484,4.323,1010.3602621720429,rh
8.999,3.166,1.327,1.035,1.133,1.273,1010.3602621720429,rh
20.694,20.933,10.497,1.749,2.386,4.706,1010.3602621720429,rh
17.828,9.223,6.305,1.531,3.625,3.376,1010.3602621720429,rh
15.379,19.748,14.521,2.359,3.316,4.535,1010.3602621720429,rh
24.749,17.294,10.519,2.176,3.719,4.04,1010.3602621720429,rh
8.772,1.841,1.577,1.399,1.024,1.586,1010.3602621720429,rh
9.351,4.66,1.886,0.638,0.988,1.051,1010.3602621720429,rh
11.234,3.796,2.537,1.157,1.011,1.219,1010.3602621720429,rh
19.663,16.168,10.472,1.668,2.427,4.85,1010.3602621720429,rh
18.404,11.616,4.76,1.445,2.496,3.72,1010.3602621720429,rh
25.421,17.564,11.238,2.079,3.674,4.475,1010.3602621720429,rh
27.627,21.63,10.473,2.01,3.557,5.32,1010.3602621720429,rh
17.753,12.169,13.098,2.698,3.628,3.027,1010.3602621720429,rh
