X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
8.296,3.584,3.68,0.784,0.506,0.242,1010.563812,lu
8.487,4.485,2.255,0.447,0.49,0.229,1010.563812,lu
7.98,15.524,19.049,3.828,3.168,1.727,1010.562286,lu
4.69,15.284,18.08,3.686,3.229,1.742,1010.558319,lu
4.989,14.948,19.972,3.709,3.03,2.121,1010.543976,lu
5.997,13.998,19.411,3.871,2.888,2.388,1010.533676,lu
7.955,12.695,17.189,4.424,3.469,1.695,1010.526733,lu
11.053,12.282,19.06,4.695,2.94,1.092,1010.526047,lu
6.967,13.857,21.766,4.619,2.369,1.488,1010.525513,lu
6.313,14.279,20.048,4.61,2.461,1.669,1010.525055,lu
4.534,12.126,16.427,2.569,2.879,2.1,1010.525055,lu
5.044,4.752,11.191,1.827,1.229,0.889,1010.513458,lu
4.949,2.949,7.363,0.284,0.527,0.185,1010.513458,lu
6.923,14.047,19.816,4.334,2.455,1.545,1010.514297,lu
5.791,3.794,5.984,0.587,0.742,0.497,1010.516205,lu
7.046,4.714,7.184,1.377,1.045,1.12,1010.516891,lu
8.298,16.227,21.587,4.28,2.677,2.047,1010.523529,lu
6.08,6.028,18.434,3.325,2.227,2.643,1010.532608,lu
5.376,13.898,11.377,2.536,1.487,0.661,1010.537033,lu
4.506,11.472,18.166,2.947,2.366,1.785,1010.538788,lu
5.11,9.758,19.462,4.393,2.214,1.58,1010.544434,lu
4.412,10.767,14.493,2.491,1.559,1.1,1010.546112,lu
7.572,3.042,3.78,0.96,1.171,0.501,1010.552444,lu
5.991,12.527,20.599,4.731,2.503,1.604,1010.554047,lu
6.828,11.703,19.155,4.26,1.981,1.245,1010.556564,lu
8.106,2.266,6.217,1.598,1.13,0.436,1010.556564,lu
8.255,1.658,3.686,0.554,1.081,0.589,1010.554123,lu
7.437,13.086,18.507,3.443,2.63,2.588,1010.554123,lu
6.169,12.851,19.939,3.943,3.152,1.688,1010.554123,lu
3.705,13.738,22.686,4.251,2.423,1.676,1010.555115,lu
4.355,2.182,8.581,1.125,0.707,1.285,1010.554962,lu
6.676,10.352,18.169,2.848,2.677,2.033,1010.554962,lu
7.691,13.257,21.861,4.149,3.215,1.791,1010.552444,lu
6.355,9.633,9.885,2.561,1.941,0.877,1010.549698,lu
6.364,10.038,15.859,3.65,2.573,0.657,1010.549698,lu
6.956,15.543,20.853,4.44,2.502,1.188,1010.554504,lu
6.809,14.435,20.98,4.485,2.017,1.294,1010.557632,lu
8.288,8.561,10.082,2.598,1.518,1.126,1010.558472,lu
7.36,8.467,17.21,3.887,2.461,1.247,1010.558472,lu
7.531,7.612,11.42,3.222,3.038,1.208,1010.554733,lu
4.883,11.55,19.334,4.344,2.863,1.86,1010.548401,lu
6.123,13.762,18.405,4.24,2.196,1.249,1010.542984,lu
6.006,10.711,18.932,4.706,2.55,1.478,1010.532837,lu
5.737,3.649,8.749,0.639,1.107,0.504,1010.528259,lu
5.936,4.598,6.693,0.894,0.894,0.673,1010.522537,lu
6.308,5.002,4.312,0.822,1.329,0.724,1010.522537,lu
6.075,12.52,20.139,4.806,2.491,1.572,1010.522537,lu
5.496,14.371,19.669,4.302,3.322,1.51,1010.52887,lu
7.176,12.738,20.633,5.027,2.892,1.82,1010.532379,lu
6.157,13.264,18.64,4.188,3.167,1.341,1010.532379,lu
7.05,12.838,19.453,4.423,2.93,1.704,1010.526886,lu
5.979,11.992,18.692,4.421,3.151,1.76,1010.513229,lu
5.042,3.719,7.759,0.439,0.675,0.838,1010.496674,lu
6.475,7.72,19.397,2.844,3.289,2.023,1010.491791,lu
4.96,10.283,12.528,2.088,0.909,1.153,1010.490723,lu
6.939,2.53,6.46,0.719,0.434,0.399,1010.491791,lu
7.511,3.471,4.625,0.164,0.511,0.312,1010.494995,lu
7.901,3.357,5.204,0.213,0.208,0.178,1010.500031,lu
