,X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
4352,1.304,0.973,1.116,2.321,6.713,3.852,righthook
4353,0.378,0.241,0.41,0.838,0.824,1.038,rightnopunch
4354,0.181,1.821,0.583,1.779,0.904,1.094,cross
4355,0.052,0.044,0.023,0.074,0.057,0.055,righthook
4356,0.507,1.779,0.825,2.066,1.86,1.782,leftuppercut
4357,0.041,0.063,0.031,0.082,0.066,0.122,jab
4358,2.335,2.34,2.3,5.7,5.202,12.002,rightuppercut
4359,0.805,3.19,1.069,5.167,5.786,4.869,jab
4360,0.111,0.073,0.144,0.095,0.38,0.183,leftuppercut
4361,0.323,0.543,0.697,2.721,3.087,2.186,lefthook
4362,0.661,1.537,1.281,1.496,2.416,0.871,cross
4363,2.494,1.012,1.778,4.894,7.014,6.761,rightuppercut
4364,0.245,0.156,0.323,0.65,0.512,0.303,rightnopunch
4365,1.076,1.404,1.07,3.087,5.785,2.866,lefthook
4366,3.753,2.54,3.168,4.374,12.738,11.135,lefthook
4367,0.328,0.262,0.394,0.486,0.953,0.242,leftnopunch
4368,0.195,0.139,0.205,0.694,0.289,0.461,leftnopunch
4369,0.043,0.092,0.063,0.141,0.122,0.22,jab
4370,5.283,3.168,2.716,8.554,19.825,22.573,rightuppercut
4371,1.296,2.099,2.087,6.992,11.175,6.209,lefthook
4372,0.204,0.394,0.323,2.148,1.663,1.787,leftnopunch
4373,0.675,1.673,0.952,3.405,2.672,3.562,leftuppercut
4374,0.319,0.534,0.576,2.625,2.163,1.783,leftuppercut
4375,0.646,1.701,1.123,3.7,3.227,6.35,rightuppercut
4376,1.242,3.337,2.319,6.799,9.963,4.994,jab
4377,2.957,3.103,2.54,5.86,10.365,9.457,leftuppercut
4378,0.19,0.737,0.312,2.289,2.432,3.323,jab
4379,0.813,0.935,1.229,4.046,4.6,4.298,rightuppercut
4380,0.416,0.208,0.183,0.858,0.385,0.47,leftnopunch
4381,0.032,0.034,0.02,0.077,0.035,0.071,jab
4382,2.103,3.543,2.665,3.686,7.131,3.041,jab
4383,1.271,2.182,0.436,1.29,1.314,2.377,lefthook
4384,0.71,0.316,0.454,0.396,0.456,0.401,leftnopunch
4385,0.766,1.93,0.622,2.905,5.059,4.043,jab
4386,0.618,1.132,0.462,2.694,3.607,1.792,leftuppercut
4387,0.184,0.943,0.386,0.667,0.337,0.989,jab
4388,4.036,2.918,2.585,6.52,11.304,14.155,leftuppercut
4389,0.185,0.099,0.089,0.221,0.384,0.397,righthook
4390,0.262,0.166,0.171,0.247,0.177,0.302,leftnopunch
4391,0.03,0.032,0.024,0.054,0.05,0.075,jab
4392,0.37,1.312,0.996,1.221,1.002,1.207,jab
4393,3.619,1.907,1.83,3.37,12.621,11.725,righthook
4394,0.249,0.234,0.446,0.518,1.346,0.563,leftuppercut
4395,0.214,0.172,0.345,0.313,0.471,0.282,rightnopunch
4396,2.298,1.235,1.092,3.772,7.052,6.838,rightuppercut
4397,1.732,5.824,2.168,8.083,12.751,7.023,jab
4398,0.519,0.696,0.967,2.33,3.639,2.467,lefthook
4399,0.851,1.304,0.488,2.6,1.668,1.949,lefthook
4400,0.101,0.056,0.021,0.082,0.099,0.123,lefthook
4401,4.149,3.18,2.867,5.903,14.097,13.779,leftuppercut
4402,0.197,0.192,0.166,0.281,0.23,0.507,cross
4403,0.354,0.679,0.36,2.868,2.294,3.383,jab
4404,0.65,0.63,0.276,1.463,1.412,0.868,righthook
4405,0.933,1.938,1.249,2.139,3.997,2.042,jab
4406,1.023,3.57,1.887,6.272,4.619,4.947,cross
4407,0.022,0.043,0.022,0.069,0.039,0.091,jab
4408,0.426,2.452,1.078,0.909,1.355,0.926,jab
4409,0.911,1.21,1.619,5.355,4.3,4.468,rightuppercut
4410,0.294,1.097,0.522,1.586,0.825,0.868,lefthook
4411,0.125,0.138,0.058,0.411,0.145,0.231,rightnopunch
4412,3.838,2.865,2.687,13.093,20.211,16.305,rightuppercut
4413,0.889,0.979,0.956,1.734,2.704,0.712,cross
4414,0.109,0.077,0.346,0.235,0.564,0.189,leftuppercut
4415,0.686,1.779,1.068,1.748,2.245,2.06,jab
4416,0.704,1.511,0.594,2.253,1.292,1.113,leftuppercut
4417,0.541,1.094,0.442,3.04,3.437,2.444,lefthook
4418,2.048,6.544,1.908,10.108,9.916,9.824,jab
4419,1.772,4.526,2.73,6.73,11.213,7.059,jab
