X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
8.763,13.392,4.838,0.889,4.015,2.017,1012.960968,jab
8.135,12.801,5.205,1.004,5.089,1.775,1012.963943,jab
8.795,11.458,5.187,1.234,3.941,1.925,1012.966156,jab
8.527,16.849,5.875,1.642,5.041,2.799,1012.966232,jab
7.803,5.359,2.994,0.457,1.422,0.485,1012.966232,jab
8.787,4.808,1.608,0.222,0.326,0.21,1012.966156,jab
7.891,4.785,2.179,0.21,0.365,0.161,1012.965851,jab
9.557,16.097,6.668,1.312,5.121,2.653,1012.960129,jab
7.97,9.181,6.247,1.318,2.085,1.493,1012.960052,jab
9.424,9.468,4.572,1.078,3.669,2.074,1012.956467,jab
10.073,14.191,6.047,1.135,4.457,2.333,1012.953339,jab
8.642,15.533,6.395,1.175,5.431,2.515,1012.953339,jab
9.758,17.7,7.062,1.529,5.626,3.303,1012.95311,jab
9.455,15.927,6.919,1.144,4.109,1.918,1012.95311,jab
8.639,16.304,6.463,1.314,5.549,2.259,1012.952728,jab
7.909,18.358,7.814,1.34,5.802,2.797,1012.952728,jab
11.905,15.763,6.584,1.246,5.314,2.354,1012.953796,jab
6.714,11.108,7.254,0.937,3.53,1.957,1012.953796,jab
8.831,2.697,3.079,0.16,0.357,0.132,1012.953186,jab
8.631,3.61,2.972,0.159,0.444,0.297,1012.951889,jab
8.485,4.349,3.022,0.671,0.617,0.304,1012.951889,jab
8.8,4.372,3.305,0.695,1.207,0.651,1012.951202,jab
9.669,14.811,6.749,1.397,4.205,2.573,1012.951202,jab
9.876,18.375,7.088,1.371,5.728,2.856,1012.949371,jab
7.23,12.432,5.142,1.445,4.398,2.559,1012.94899,jab
7.872,5.246,4.378,0.312,0.754,0.32,1012.94899,jab
9.488,3.193,1.989,0.393,0.351,0.268,1012.952042,jab
8.429,3.897,2.494,0.391,0.423,0.271,1012.957153,jab
7.685,5.149,3.303,0.673,0.422,0.404,1012.957153,jab
11.56,12.328,4.691,1.508,4.203,1.78,1012.956161,jab
10.365,16.539,7.091,1.295,5.037,2.376,1012.955475,jab
13.663,23.573,7.912,2.196,7.362,3.992,1012.951889,jab
9.327,20.306,9.132,1.598,5.803,2.721,1012.947693,jab
8.927,11.049,5.974,1.071,2.832,1.648,1012.94754,jab
8.74,3.671,3.118,0.325,0.367,0.248,1012.947006,jab
9.066,3.067,2.137,0.171,0.131,0.176,1012.947006,jab
