X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
3.085,17.511,26.174,4.344,3.145,1.773,1010.5046122795698,ru
4.565,17.024,24.828,4.933,5.0,1.589,1010.5046122795698,ru
5.567,15.355,20.761,3.135,5.968,1.911,1010.5046122795698,ru
8.134,19.109,24.627,5.101,5.815,2.544,1010.5046122795698,ru
4.711,7.85,21.1,3.541,2.633,2.083,1010.5046122795698,ru
3.929,11.123,15.887,3.1,1.276,0.514,1010.5046122795698,ru
7.152,2.078,5.194,0.521,2.167,0.335,1010.5046122795698,ru
8.385,3.326,5.007,0.37,0.24,0.254,1010.5046122795698,ru
8.117,2.753,4.144,1.618,0.834,0.828,1010.5046122795698,ru
6.767,11.945,20.834,4.223,3.321,1.805,1010.5046122795698,ru
5.472,15.935,21.975,4.394,4.279,1.862,1010.5046122795698,ru
4.762,14.692,25.218,4.15,5.167,2.573,1010.5046122795698,ru
7.872,7.091,17.478,2.896,4.182,2.588,1010.5046122795698,ru
5.585,18.411,22.763,4.471,3.221,2.225,1010.5046122795698,ru
7.231,17.051,26.618,4.463,3.269,1.997,1010.5046122795698,ru
6.853,16.481,22.919,4.591,3.069,2.327,1010.5046122795698,ru
6.688,14.249,20.703,4.112,4.443,2.806,1010.5046122795698,ru
5.891,11.743,19.362,2.78,4.224,2.727,1010.5046122795698,ru
9.802,7.708,11.935,2.449,3.39,2.651,1010.5046122795698,ru
3.406,15.245,25.695,4.833,1.606,1.868,1010.5046122795698,ru
7.861,16.713,26.07,5.454,4.174,2.88,1010.5046122795698,ru
