"Time (s)","X (hPa)"
2.485753557E2,1.010365448E3
2.496488677E2,1.010364609E3
2.507224287E2,1.010362473E3
2.517959397E2,1.010358047E3
2.528694467E2,1.010356598E3
2.539429227E2,1.010354385E3
2.550163917E2,1.010351181E3
2.560898767E2,1.010351181E3
2.571633267E2,1.010349884E3
2.582368067E2,1.010349655E3
2.593103117E2,1.010349655E3
2.603837667E2,1.010349884E3
2.614572597E2,1.010349884E3
2.625307497E2,1.010349884E3
2.636042287E2,1.010348892E3
2.646777007E2,1.010349503E3
2.657511837E2,1.010348892E3
2.668246937E2,1.010345306E3
2.678982037E2,1.010336685E3
2.689717217E2,1.010330734E3
2.700452667E2,1.010330124E3
2.711188117E2,1.010330734E3
2.721923697E2,1.010339584E3
2.732659067E2,1.010354080E3
2.743394307E2,1.010364380E3
2.754129687E2,1.010377731E3
2.764864717E2,1.010381088E3
2.775600047E2,1.010390320E3
2.786335287E2,1.010390472E3
2.797070117E2,1.010393677E3
2.807805047E2,1.010390472E3
2.818540117E2,1.010389481E3
2.829275027E2,1.010376816E3
2.840009917E2,1.010375214E3
2.850745117E2,1.010374374E3
2.861480177E2,1.010374374E3
2.872215627E2,1.010378799E3
2.882951027E2,1.010381470E3
2.893686117E2,1.010386505E3
2.904421147E2,1.010388260E3
2.915155947E2,1.010390701E3
2.925891107E2,1.010395432E3
2.936626287E2,1.010400391E3
2.947361457E2,1.010402679E3
2.958096757E2,1.010408783E3
2.968831817E2,1.010415802E3
