"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.507403913E0,2.444576740E0,2.312088251E0,2.021346331E0
2.527288548E0,2.518144369E0,2.228933573E0,1.975541234E0
2.547195006E0,2.490448236E0,1.835596204E0,1.831601620E0
2.567090892E0,2.291116476E0,1.297786713E0,1.682402372E0
2.586956986E0,1.923877478E0,5.771565437E-1,1.700511336E0
2.606844121E0,1.400981188E0,-2.244312763E-1,1.871614456E0
2.626771309E0,7.992576361E-1,-1.116697073E0,2.101305246E0
2.646656829E0,2.390782386E-1,-2.408691645E0,2.539981604E0
2.666520684E0,-2.033263594E-1,-3.771058083E0,3.310145140E0
2.686437559E0,-4.400078058E-1,-4.544950008E0,4.221585274E0
2.706300840E0,-4.597146213E-1,-4.701139450E0,5.084490299E0
2.726205840E0,-3.499290347E-1,-4.302942276E0,5.821631432E0
2.746096986E0,-2.103835158E-2,-3.062145472E0,6.240601063E0
2.765989381E0,5.183690190E-1,-8.054493070E-1,6.231546402E0
2.785860111E0,1.076417923E0,1.843585491E0,5.904786587E0
2.805791361E0,1.392459273E0,4.063530922E0,5.357922554E0
2.825679121E0,1.540127277E0,5.486615658E0,4.545682430E0
2.845591673E0,1.596584558E0,5.836278439E0,3.546293974E0
2.865427663E0,1.249651432E0,5.151932716E0,2.318279982E0
2.885319694E0,-2.214353085E-1,5.091680527E0,7.661688328E-1
2.905214277E0,-2.561352730E0,6.888462543E0,-1.110571980E0
2.925110475E0,-4.524377346E0,8.524194717E0,-3.260145664E0
2.945004277E0,-5.869101048E0,8.397897720E0,-5.742870808E0
2.964903913E0,-6.329082012E0,6.572887421E0,-7.765548706E0
2.984791725E0,-6.027954102E0,4.731365681E0,-9.351281166E0
3.004678079E0,-5.199136257E0,3.937767029E0,-1.104087353E1
3.024595423E0,-3.902880669E0,2.835517168E0,-1.146084213E1
3.044485996E0,-2.842241526E0,7.647707462E-1,-1.058408833E1
3.064330788E0,-1.911627293E0,-1.229145765E0,-9.462664604E0
3.084222454E0,-8.328124881E-1,-1.983330727E0,-8.226061821E0
3.104134329E0,2.689713426E-2,-1.300582886E0,-6.867490768E0
3.124031725E0,1.113168478E0,-1.509302109E-1,-5.445404530E0
3.143910788E0,2.398238897E0,5.425364971E-1,-3.702017546E0
3.163796621E0,3.519130468E0,1.158707261E0,-2.146178246E0
3.183694694E0,4.504670620E0,1.791322470E0,-8.957278132E-1
3.203590579E0,5.244474888E0,2.063156605E0,2.832854092E-1
3.223506309E0,5.405391693E0,1.928338051E0,7.922670841E-1
3.243352923E0,4.760992527E0,1.569088221E0,6.553180218E-1
3.263242246E0,4.004676819E0,1.339397430E0,4.751605093E-1
3.283136569E0,3.465269566E0,1.762028575E0,3.115140796E-1
3.303023548E0,3.066073418E0,2.578596354E0,-2.856156044E-2
3.322933704E0,2.770271540E0,2.873332977E0,-5.146406963E-2
3.342803131E0,2.287920713E0,2.566878796E0,1.558569074E-1
3.362703652E0,1.624879837E0,2.126604557E0,2.219679356E-1
3.382593236E0,1.103048801E0,1.820150375E0,1.265629977E-1
3.402509225E0,6.686334610E-1,1.604240894E0,-5.126433913E-3
3.422384642E0,3.983971477E-1,1.343658328E0,-8.235582709E-2
3.442260111E0,1.894783229E-1,9.550479650E-1,-2.802894451E-2
3.462176829E0,-3.808208182E-2,6.001256704E-1,6.311506033E-2
3.482068704E0,-2.299571782E-1,5.031228662E-1,1.105845049E-1
3.501925736E0,-3.829512596E-1,6.379414201E-1,-1.151783206E-2
3.521842350E0,-3.973319232E-1,5.835479498E-1,-8.927984536E-2
3.541736621E0,-2.529262602E-1,1.460034996E-1,-2.536586113E-2
3.561616725E0,-2.476666868E-2,-2.004635334E-1,-1.684399694E-2
3.581523131E0,8.342105895E-2,-3.491967022E-1,7.989247679E-4
3.601416465E0,3.808208182E-2,-4.120454490E-1,9.320789017E-3
3.621295319E0,-8.022536337E-2,-3.491967022E-1,-4.134435579E-2
3.641174225E0,-1.734998226E-1,-3.460009992E-1,-4.667052254E-2
3.661077767E0,-2.390782386E-1,-5.101134777E-1,-1.311568171E-2
3.680957819E0,-2.870137095E-1,-7.079139352E-1,-3.282249346E-2
3.700838756E0,-3.184380829E-1,-7.958621979E-1,-7.916013151E-2
3.720720736E0,-3.264939189E-1,-7.574472427E-1,-1.324883550E-1
3.740609590E0,-3.088510036E-1,-6.860100627E-1,-1.495320797E-1
3.760522402E0,-2.912746668E-1,-6.348788738E-1,-1.452711523E-1
3.780426621E0,-2.822201848E-1,-6.279548407E-1,-1.324883550E-1
